Sample Name,Variety,Section,Total_Sugars,Glucan,Xylan,Mannan,Arabinan,Galactan,Rhamnan,Klason_Lignin,AS_Lignin,Extractives,Ash,Acid_Insoluble_Ash,Acid_Insoluble_Residue
Sugargraze-Leaf-R1,Sugargraze,Leaf,45.09,27.87,12.35,0.24,2.79,1.08,0.15,17.32,3.78,7.37,9.56,6.27,23.72
Sugargraze-Sheath-R1,Sugargraze,Sheath,54.5,34.81,14.7,0.22,3.32,1.08,0.19,16.23,2.21,4.03,9.01,6.98,22.75
Sugargraze-Stem(<1m)-R1,Sugargraze,Stem(<1m),35.77,25.97,7.62,0.12,1.17,0.5,0.09,15.34,1.62,28.14,5.53,0.85,16.3
Sugargraze-Stem(>1m)-R1,Sugargraze,Stem(>1m),31.86,24.28,6.99,0.14,1.09,0.42,0.1,12.88,1.24,36.72,5.39,0.97,14.01
Yemen-Leaf-R1,Yemen,Leaf,43.86,27.81,11.43,0.25,2.91,1.08,0.14,17.58,4.49,8.04,7.15,4.11,21.63
Yemen-Sheath-R1,Yemen,Sheath,50.84,31.81,12.24,0.23,3.23,1.02,0.18,15.74,2.66,6.99,6.08,3.53,19.25
Yemen-Stem(<1m)-R1,Yemen,Stem(<1m),47.73,33.41,12.49,0.14,1.96,0.73,0.13,18.68,2.03,13.6,3.29,0.84,19.35
Yemen-Stem(>1m)-R1,Yemen,Stem(>1m),42.93,27.75,10.89,0.15,1.88,0.67,0.12,15.51,2.22,20.2,4.47,0.64,15.76
GreenleafBMR-Leaf-R1,GreenleafBMR,Leaf,37.79,22.69,10.96,0.25,2.43,1.09,0.1,18.71,5.06,8.55,8.5,5.22,23.99
GreenleafBMR-Sheath-R1,GreenleafBMR,Sheath,51.42,33.92,13.95,0.2,2.6,0.98,0.16,16.57,2.56,5.22,8.82,5.56,22.98
GreenleafBMR-Stem-R1,GreenleafBMR,Stem,47.52,32.99,13.43,0.19,1.71,0.94,0.17,16.5,2.14,12.48,5.96,1.5,18.49
Graingrass-Leaf-R1,Graingrass,Leaf,32.16,22.46,7.54,0.28,2.22,1.24,0.11,19.8,3.99,12.21,11.5,7.84,27.33
Graingrass-Sheath-R1,Graingrass,Sheath,47.31,31.94,11.34,0.22,2.54,1.11,0.18,17.97,2.87,7.48,6.99,6.4,24.4
Graingrass-Stem-R1,Graingrass,Stem,46.81,32.19,12.63,0.15,1.78,0.8,0.16,16.89,1.9,14.59,5.61,2.11,19.11
