Biomass,Section,Treatment,Total_Sugars,Glucan,Xylan,Mannan,Arabinan,Galactan,Rhamnan,Klason_Lignin,AS_Lignin,Extractives,Ash,Acid_Insoluble_Ash,Acid_Insoluble_Residue
Sorghum,Leaf,Raw,45.09,27.87,12.35,0.24,2.79,1.08,0.15,17.32,3.78,7.37,9.56,6.27,23.72
Sorghum,Sheath,Raw,54.5,34.81,14.7,0.22,3.32,1.08,0.19,16.23,2.21,4.03,9.01,6.98,22.75
Sorghum,Stem(<1m),Raw,35.77,25.97,7.62,0.12,1.17,0.5,0.09,15.34,1.62,28.14,5.53,0.85,16.3
Sorghum,Stem(>1m),Raw,31.86,24.28,6.99,0.14,1.09,0.42,0.1,12.88,1.24,36.72,5.39,0.97,14.01
Yemen,Leaf,Raw,43.86,27.81,11.43,0.25,2.91,1.08,0.14,17.58,4.49,8.04,7.15,4.11,21.63
Yemen,Sheath,Raw,50.84,31.81,12.24,0.23,3.23,1.02,0.18,15.74,2.66,6.99,6.08,3.53,19.25
Yemen,Stem(<1m),Raw,47.73,33.41,12.49,0.14,1.96,0.73,0.13,18.68,2.03,13.6,3.29,0.84,19.35
Yemen,Stem(>1m),Raw,42.93,27.75,10.89,0.15,1.88,0.67,0.12,15.51,2.22,20.2,4.47,0.64,15.76
GreenleafBMR,Leaf,Raw,37.79,22.69,10.96,0.25,2.43,1.09,0.1,18.71,5.06,8.55,8.5,5.22,23.99
GreenleafBMR,Sheath,Raw,51.42,33.92,13.95,0.2,2.6,0.98,0.16,16.57,2.56,5.22,8.82,5.56,22.98
GreenleafBMR,Stem,Raw,47.52,32.99,13.43,0.19,1.71,0.94,0.17,16.5,2.14,12.48,5.96,1.5,18.49
Graingrass,Leaf,Raw,32.16,22.46,7.54,0.28,2.22,1.24,0.11,19.8,3.99,12.21,11.5,7.84,27.33
Graingrass,Sheath,Raw,47.31,31.94,11.34,0.22,2.54,1.11,0.18,17.97,2.87,7.48,6.99,6.4,24.4
Graingrass,Stem,Raw,46.81,32.19,12.63,0.15,1.78,0.8,0.16,16.89,1.9,14.59,5.61,2.11,19.11
Sorghum,Leaf,DL,82.8,59.37,19.03,0.22,3.44,0.67,0.08,6.67,1.41,1.9,4.06,1.03,20.24
Sorghum,Sheath,DL,89.98,62.66,23.36,0.23,3.03,0.61,0.08,4.24,1.42,1.99,1.97,4.52,23.36
Sorghum,Stem(<1m),DL,83.63,60.57,20.81,0.17,1.79,0.23,0.05,7.22,1.25,3.94,1.2,0.1,9.27
Sorghum,Stem(>1m),DL,82,57.63,21.97,0.12,1.88,0.33,0.07,6.01,1.3,2,1.8,1.54,10.89
Banana,Leaf,DL,61.31,43.77,10.98,0.83,4.67,0.96,0.1,19.21,1.54,4.17,7.11,0.28,29.97
Banana,Leaf,Raw,38.91,24.63,7.86,0.91,3.87,1.23,0.41,18.84,3.58,10.83,12.38,0.55,30.31
Banana,Stem,DL,77.42,63.31,9.29,1.04,2.92,0.75,0.1,9.17,1.55,2.69,3.73,0.37,11.97
Banana,Stem,Raw,51.73,41.2,5.86,0.75,2.67,1.03,0.23,9.35,2.83,10.07,17.99,1.16,20.13
Softwood,Stem,DL,59.84,44.38,4.53,9.09,0.9,0.95,0,29.69,0.66,1.88,1.01,0.19,9.65
Softwood,Stem,Raw,63.04,44.68,5.26,10.47,1.11,1.36,0.16,29.76,0.65,0.65,1,5.1,27.97
Sugarcane,Bagasse,DL,82.16,56.45,22.81,0.12,2.31,0.39,0.07,11.6,1.88,2.7,0.83,0.04,6.71
Sugarcane,Bagasse,Raw,63.25,38.72,21.94,0.13,1.85,0.5,0.12,18.97,1.69,7.25,2.24,0.03,4.27
Sugarcane,Mulch,DL,81.79,60.44,17.82,0.07,2.83,0.63,0,9.46,1.28,1.45,2.41,0.04,7.26
Sugarcane,Mulch,Raw,54.84,32.56,18.4,0.28,2.62,0.88,0.11,22.87,2.32,9.84,8.99,0.05,6.06
Spinifex,Leaf,Raw,0,37.8,27.21,0,0,0,0,15.5,2.89,6.5,2.3,0,0
Spinifex,Leaf,DL,0,64.1,23.2,0,0,0,0,6.1,0.78,2.7,1.7,0,0
