Biomass,Section,Step,Onset,Peak_1,Peak_2,Residue
Sorghum,Leaf,-5.8,239.4,282.8,346.2,31.5
Sorghum,Sheath,-5.6,236.8,278.6,344.9,30
Sorghum,Stem(<1m),-3,158.7,204.9,321,32.9
Sorghum,Stem(>1m),-2.9,154.4,200,331.5,28.5
Yemen,Leaf,-5.5,253.4,287.3,346.6,28.9
Yemen,Sheath,-5.6,242.9,285.2,344.9,27.8
Yemen,Stem(<1m),-4,230.5,276.5,325.7,30.4
Yemen,Stem(>1m),-3.8,158.2,204.7,323.4,31.4
GreenleafBMR,Leaf,-4.5,249.2,286,347.8,32.5
GreenleafBMR,Sheath,-4.4,240.5,280.4,344.3,34.5
GreenleafBMR,Stem,-3.4,141.4,183,326.9,33.3
Graingrass,Leaf,-4.8,245,288.5,345.1,36.6
Graingrass,Sheath,-4.9,242,286.3,346.1,33.6
Graingrass,Stem,-4.4,236.1,280,343.9,30.6
Softwood,Stem,-7.2,255,,352.5,27.2
Sugarcane,Mulch,-6.5,231.6,273.6,342.9,32
Sugarcane,Bagasse,-0.5,245.6,270.5,345.7,23.8
Banana,Stem,-6.8,225.4,,296.4,35.4
Banana,Leaf,-5.2,206.1,150.3,307,37.6
Spinifex,Leaf,-5,262.8,286,347.4,28.5
