Sample_name,Biomass,Section,Type,Location,Extrusion,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
VM-Sorghum-MFC(Lab)-incorrectprofile-4,Sorghum,All,MFC,Lab,Incorrect,1,50061,33.593,226,302,407,299,15.9,0.11,1.122,122.998,11.036,6.981,1.189,29.7,1221258,790.588,53.521,78.513,73.467,659,34
VM-Sorghum-MFC(Lab)-incorrectprofile-3,Sorghum,All,MFC,Lab,Incorrect,2,50003,32.994,225,298,399,295,15.8,0.1117,1.13,123.911,11.093,6.925,1.184,29.363,1237863,789.565,54.092,78.774,73.929,656,34
VM-Sorghum-MFC(Lab)-incorrectprofile-2,Sorghum,All,MFC,Lab,Incorrect,3,50099,32.035,225,300,403,296,15.8,0.1153,1.13,124.577,11.156,6.903,1.17,30.447,1278124,789.239,54.746,79.208,74.367,654,34
VM-Sorghum-MFC(Lab)-incorrectprofile-1,Sorghum,All,MFC,Lab,Incorrect,4,50027,34.038,227,303,410,299,15.8,0.1082,1.13,123.616,11.087,7.003,1.187,30.153,1229018,808.711,53.655,78.538,73.484,656,34
JP-Sorghum-MFC(Lab)-correctprofile-4,Sorghum,All,MFC,Lab,Correct,1,50032,33.659,227,308,422,306,16.2,0.1098,1.101,127.193,9.936,6.239,1.256,30.216,1120884,727.277,51.849,77.14,71.56,670,35
JP-Sorghum-MFC(Lab)-correctprofile-3,Sorghum,All,MFC,Lab,Correct,2,50139,33.207,228,307,417,304,16.1,0.1113,1.103,127.611,9.911,6.224,1.217,29.756,1136255,727.815,52.421,77.201,71.814,667,35
JP-Sorghum-MFC(Lab)-correctprofile-2,Sorghum,All,MFC,Lab,Correct,3,50065,33.592,229,311,426,310,16.2,0.1095,1.118,127.893,9.979,6.176,1.234,30.161,1128883,731.456,51.546,77.2,71.48,669,35
JP-Sorghum-MFC(Lab)-correctprofile-1,Sorghum,All,MFC,Lab,Correct,4,50089,33.014,227,306,417,303,16.1,0.112,1.095,127.309,9.984,6.22,1.222,30.208,1159008,737.725,52.751,77.709,72.26,662,34
JP-Sorghum-MFC(PP)-4,Sorghum,All,MFC,PP,Correct,1,40891,25.363,229,312,424,303,17.9,0.1445,1.14,123.98,11.212,7.187,1.16,33.085,1124820,674.448,54.278,79.81,74.654,651,34
JP-Sorghum-MFC(PP)-3,Sorghum,All,MFC,PP,Correct,2,44135,25.514,230,315,433,305,17.8,0.1442,1.134,123.593,11.328,7.275,1.216,32.745,1191626,665.383,53.424,79.498,74.144,653,34
JP-Sorghum-MFC(PP)-2,Sorghum,All,MFC,PP,Correct,3,43667,25.01,230,315,435,308,17.9,0.1467,1.138,123.476,11.362,7.253,1.212,32.489,1192800,659.166,53.064,79.46,74.299,653,34
JP-Sorghum-MFC(PP)-1,Sorghum,All,MFC,PP,Correct,4,45663,25.849,230,316,437,308,17.9,0.142,1.134,123.046,11.321,7.285,1.216,32.817,1254611,685.56,52.834,79.483,74.34,652,34
,Sorghum,All,MFC,PhD,PhD,4,49755,31.402,231,313,423,304,17,0.1179,1.143,120.256,11.82,7.402,1.037,29.223,853783,518.954,50.037,72.991,66.749,770,37
,Sorghum,All,MFC,PhD,PhD,3,50032,30.426,230,310,420,301,17.2,0.1226,1.158,120.16,11.596,7.548,1.112,30.033,841110,494.139,49.386,72.996,66.649,779,37
,Sorghum,All,MFC,PhD,PhD,2,50038,31.239,230,312,426,304,17.3,0.1195,1.16,120.438,11.557,7.571,1.137,30.588,826192,498.128,48.823,72.438,66.344,795,37
,Sorghum,All,MFC,PhD,PhD,1,50017,30.462,230,309,417,302,17,0.1216,1.153,119.632,11.461,7.479,1.079,29.221,865399,507.603,50.184,72.942,67.004,762,36
