Sample_name,Biomass,Section,Type,Location,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
JP-Sorghum-Pulp(PP)-4,Sorghum,All,Pulp,PP,1,29798,8.109,200,277,408,273,33.4,0.5329,1.065,119.604,2.594,9.301,1.679,56.944,521683,135.727,25.832,76.642,70.199,891,38
JP-Sorghum-Pulp(PP)-3,Sorghum,All,Pulp,PP,2,27970,7.676,199,277,415,269,33.2,0.5646,1.077,116.648,2.334,9.2,1.681,56.87,516552,135.436,27.904,77.525,71.103,878,38
JP-Sorghum-Pulp(PP)-2,Sorghum,All,Pulp,PP,3,31326,9.024,202,282,418,274,33.3,0.4747,1.078,119.928,2.651,9.319,1.726,56.941,536683,147.852,25.335,76.049,69.498,905,38
JP-Sorghum-Pulp(PP)-1,Sorghum,All,Pulp,PP,4,29652,8.451,198,272,396,265,33.1,0.5146,1.072,119.562,2.666,9.259,1.689,56.693,534158,145.9,26.334,77.151,71.077,884,38
JP-Sorghum-Pulp(Lab)-4,Sorghum,All,Pulp,Lab,1,33477,9.272,206,291,434,279,34,0.4625,1.164,123.13,4.464,9.474,1.595,56.309,510491,135.047,26.057,73.665,66.88,964,39
JP-Sorghum-Pulp(Lab)-3,Sorghum,All,Pulp,Lab,2,31079,9.078,208,293,434,284,33.6,0.4702,1.14,122.572,4.299,9.448,1.535,55.969,479196,134.243,26.58,73.679,66.86,957,39
JP-Sorghum-Pulp(Lab)-2,Sorghum,All,Pulp,Lab,3,28894,8.839,208,292,430,283,33.5,0.4794,1.134,121.85,4.168,9.392,1.577,55.479,465467,136.553,28.533,74.784,67.674,943,39
JP-Sorghum-Pulp(Lab)-1,Sorghum,All,Pulp,Lab,4,30811,9.588,207,291,426,281,33.2,0.44,1.142,123.184,4.592,9.296,1.54,56.299,508199,151.45,28.296,75.183,68.235,932,39
,Sorghum,Leaf,Pulp,PhD,1,15910,3.555,204,285,413,265,42.1,1.2366,1.075,110.762,2.024,12.815,1.531,69.494,149501,31.386,9.544,65.668,56.78,1192,41
,Sorghum,Leaf,Pulp,PhD,2,15609,3.641,204,282,404,261,41.9,1.2035,1.038,108.663,2.201,12.69,1.643,67.9,149713,32.789,9.288,66.242,57.657,1173,41
,Sorghum,Leaf,Pulp,PhD,3,17292,3.822,204,282,408,263,41.9,1.1547,1.061,109.426,2.1,12.743,1.488,68.905,160939,33.483,9.642,65.788,57.128,1186,41
,Sorghum,Leaf,Pulp,PhD,4,13965,3.548,205,284,403,265,42.2,1.2272,1.059,112.72,2.151,12.799,1.557,69.242,141561,33.75,9.922,67.189,58.618,1154,41
,Sorghum,Sheath,Pulp,PhD,1,3506,2.317,200,247,296,248,45.3,1.9372,1.075,113.604,2.588,12.783,2.329,70.371,38623,22.07,9.175,65.128,60.657,1094,38
,Sorghum,Sheath,Pulp,PhD,2,4135,3.737,196,242,294,246,44.6,1.2339,1.061,116.644,2.502,12.581,2.299,69.281,44252,34.867,8.559,66.044,61.426,1114,39
,Sorghum,Sheath,Pulp,PhD,3,3506,2.317,200,247,296,248,45.3,1.9372,1.075,113.604,2.588,12.783,2.329,70.371,38623,22.07,9.175,65.128,60.657,1094,38
,Sorghum,Sheath,Pulp,PhD,4,4135,3.737,196,242,294,246,44.6,1.2339,1.061,116.644,2.502,12.581,2.299,69.281,44252,34.867,8.559,66.044,61.426,1114,39
,Sorghum,Stem(<1m),Pulp,PhD,1,30883,7.705,209,266,354,279,37.4,0.568,1.055,89.667,2.996,11.871,1.95,59.341,95436,22.434,6.037,42.519,35.329,1532,48
,Sorghum,Stem(<1m),Pulp,PhD,2,32000,7.55,210,268,357,281,37.9,0.5753,1.041,89.018,2.912,11.971,2.001,59.008,99695,22.124,6.344,42.272,35.169,1513,47
,Sorghum,Stem(<1m),Pulp,PhD,3,28300,7.108,210,270,367,284,37.7,0.6136,1.031,89.481,2.936,11.909,1.949,59.029,91240,21.755,6.326,42.895,35.302,1493,46
,Sorghum,Stem(<1m),Pulp,PhD,4,28536,7.556,210,269,361,283,37.8,0.5746,1.042,85.599,3.004,12.004,1.958,60.473,92385,23.181,5.881,42.688,35.598,1486,47
,Sorghum,Stem(>1m),Pulp,PhD,1,45628,11.65,191,240,329,252,32.2,0.39,1.05,96.73,2.17,9.7,2.32,55.51,430613,105.83,17.28,68.15,62.42,1053,43
,Sorghum,Stem(>1m),Pulp,PhD,2,38369,11.66,190,241,333,252,32,0.39,1.06,96.84,1.9,9.6,2.22,55.57,371048,108.51,17.89,68.88,62.73,1049,43
,Sorghum,Stem(>1m),Pulp,PhD,3,46344,11.93,190,238,319,249,32.2,0.38,1.06,97.03,1.98,9.71,2.4,55.58,441903,109.52,17.18,68.55,62.97,1065,43
,Sorghum,Stem(>1m),Pulp,PhD,4,39349,11.698,190,240,328,253,32.3,0.3852,1.048,97.727,2.02,9.628,2.285,55.604,386754,110.474,16.086,68.961,63.261,1046,43
