Sample,Variety,Section,HPH,WRV
Sugargraze-1-Leaf-L,Sugargraze,Leaf,L,2858.677836
Sugargraze-1-Leaf-M,Sugargraze,Leaf,M,3795.307117
Sugargraze-1-Leaf-H,Sugargraze,Leaf,H,6840.252733
Sugargraze-1-Sheath-L,Sugargraze,Sheath,L,2602.107326
Sugargraze-1-Sheath-M,Sugargraze,Sheath,M,3566.246406
Sugargraze-1-Sheath-H,Sugargraze,Sheath,H,6005.326652
Sugargraze-1-Stem(<1m)-L,Sugargraze,Stem(<1m),L,2103.566041
Sugargraze-1-Stem(<1m)-M,Sugargraze,Stem(<1m),M,2868.490273
Sugargraze-1-Stem(<1m)-H,Sugargraze,Stem(<1m),H,4425.183243
Sugargraze-3-Stem(>1m)-L,Sugargraze,Stem(>1m),L,2437.509733
Sugargraze-3-Stem(>1m)-M,Sugargraze,Stem(>1m),M,3251.766843
Sugargraze-3-Stem(>1m)-H,Sugargraze,Stem(>1m),H,4989.619409
Yemen-2-Leaf-L,Yemen,Leaf,L,3068.66865
Yemen-2-Leaf-M,Yemen,Leaf,M,4305.144497
Yemen-2-Leaf-H,Yemen,Leaf,H,6981.050787
Yemen-1-Sheath-L,Yemen,Sheath,L,3290.828232
Yemen-1-Sheath-M,Yemen,Sheath,M,4210.570136
Yemen-1-Sheath-H,Yemen,Sheath,H,7388.358646
Yemen-3-Stem(<1m)-L,Yemen,Stem(<1m),L,2094.838715
Yemen-3-Stem(<1m)-M,Yemen,Stem(<1m),M,2937.666825
Yemen-3-Stem(<1m)-H,Yemen,Stem(<1m),H,4646.81042
Yemen-2-Stem(>1m)-L,Yemen,Stem(>1m),L,2854.178353
Yemen-2-Stem(>1m)-M,Yemen,Stem(>1m),M,3216.361211
Yemen-2-Stem(>1m)-H,Yemen,Stem(>1m),H,5737.146717
GreenleafBMR-1-Leaf-L,GreenleafBMR,Leaf,L,4131.944148
GreenleafBMR-1-Leaf-M,GreenleafBMR,Leaf,M,4932.673015
GreenleafBMR-1-Leaf-H,GreenleafBMR,Leaf,H,8273.449323
GreenleafBMR-2-Sheath-L,GreenleafBMR,Sheath,L,2722.14665
GreenleafBMR-2-Sheath-M,GreenleafBMR,Sheath,M,3194.457274
GreenleafBMR-2-Sheath-H,GreenleafBMR,Sheath,H,6135.957639
GreenleafBMR-1-Stem-L,GreenleafBMR,Stem,L,2404.663557
GreenleafBMR-1-Stem-M,GreenleafBMR,Stem,M,2987.307938
GreenleafBMR-1-Stem-H,GreenleafBMR,Stem,H,4961.961354
Graingrass-2-Leaf-L,Graingrass,Leaf,L,3896.832878
Graingrass-2-Leaf-M,Graingrass,Leaf,M,5485.570776
Graingrass-2-Leaf-H,Graingrass,Leaf,H,9341.140599
Graingrass-3-Sheath-L,Graingrass,Sheath,L,2979.709387
Graingrass-3-Sheath-M,Graingrass,Sheath,M,3554.371993
Graingrass-3-Sheath-H,Graingrass,Sheath,H,5678.527094
Graingrass-3-Stem-L,Graingrass,Stem,L,2011.989451
Graingrass-3-Stem-M,Graingrass,Stem,M,3252.649491
Graingrass-3-Stem-H,Graingrass,Stem,H,5446.919193
