"","grammage","strain_star","UTS_star","E_star","toughness_star"
"fibre_n",0.292959201885087,0.124894749132477,-0.176092326582652,-0.24870245904513,-0.05297285116316
"fibre_cont",-0.508997577152082,0.177709375004607,0.701208613062597,0.718440345397599,0.517791063732639
"fibre_L",-0.24799102527586,0.195108059708913,0.187185900321871,0.171165853873553,0.236217135547255
"fibre_L.L",-0.112491732774582,0.020006286607544,-0.0782505078999705,-0.0669270439065859,-0.0147367476440171
"fibre_L3.L",0.0166715936794758,-0.125586467034859,-0.276313396930706,-0.247163392026833,-0.212810841359755
"fibre_A.L",0.0310167752555251,0.0392474446911345,-0.113209223638652,-0.168209442192664,-0.0205391848383015
"fibre_W",0.504414375794129,-0.254668175867973,-0.67858410871664,-0.703953351718528,-0.534983588187513
"fibre_course",0.444004387410379,-0.275093816147902,-0.697025032879155,-0.71092959723387,-0.549306578161552
"fibre_kink.num",-0.0436366196648871,0.412545982329443,0.235825727992481,0.0904704016910876,0.427401367863543
"fibre_kink.ang",-0.330959906123738,0.500819896013356,0.506220958329359,0.436032208139019,0.601112189684577
"fibre_kink.cont",-0.348485996753642,0.548196748760213,0.509673249434639,0.426863607206619,0.666663842192394
"fibre_curl",0.427601787510242,-0.106374177678902,-0.546020104483349,-0.601679325098414,-0.353509890937802
"MF.index",0.409563392942478,-0.088733695625763,-0.30515536609176,-0.398914349811153,-0.229568683964353
"fibre_broken",0.426587608871304,-0.172886523832389,-0.544611040906103,-0.591373762949975,-0.40643987348179
"fine_n",0.0233960226876541,0.0414857983916971,-0.0563700462848339,-0.0530698227372258,-0.0196093371399434
"fine_cont",-0.477296234986336,0.124504684572787,0.514377472767752,0.580555582761334,0.36605192552966
"fine_cont.A",-0.115003108453707,-0.0340887710397121,0.00546520758110665,0.0711805680316698,-0.0367504913131656
"fine_cont.L",0.00557563230992685,-0.0249933003042151,-0.0551114716131168,-0.0361337915403828,-0.0571342954752992
"fine_cont.L.L",0.0333758451360997,0.000539476971042479,-0.0389687706266783,-0.0264339609335341,-0.0370730706437816
"fine_A",0.42893744077799,-0.29468557587979,-0.674128732914174,-0.640524716230975,-0.572204314030123
"fine_L",0.374655978159746,-0.265798628652007,-0.536211668483659,-0.505517378007765,-0.48050382685627
