"","parameter","quality_def.x","intercept.x","slope.x","ID.x","slope_direction.x","quality_def.y","intercept.y","slope.y","ID.y","slope_direction.y","quality_def.x","intercept.x","slope.x","ID.x","slope_direction.x","quality_def.y","intercept.y","slope.y","ID.y","slope_direction.y","quality_def.x","intercept.x","slope.x","ID.x","slope_direction.x","quality_def.y","intercept.y","slope.y","ID.y","slope_direction.y","quality_def","intercept","slope","ID","slope_direction"
"1","fibre_A.L","Q1",80.0916679555657,0.64321029627877,"Q1.fibre_A.L","positive","Q2",66.7703732118813,2.19183918076901,"Q2.fibre_A.L","positive","Q3",76.7629281705941,-2.93889269048827,"Q3.fibre_A.L","negative","Q4",61.1153174247986,2.99408588319969,"Q4.fibre_A.L","positive","Q5",61.0815221400214,-3.10899686506384,"Q5.fibre_A.L","negative","Q6",57.3719243367406,2.38489676590504,"Q6.fibre_A.L","positive","Q7",38.5750265884089,2.77101193771336,"Q7.fibre_A.L","positive"
"2","fibre_broken","Q1",76.4772722750573,-9.56906582106413,"Q1.fibre_broken","negative","Q2",63.0408421931794,-9.75441399651426,"Q2.fibre_broken","negative","Q3",73.5759228620486,-8.71166069676019,"Q3.fibre_broken","negative","Q4",58.7268438379292,-6.12260353781206,"Q4.fibre_broken","negative","Q5",57.3269770611462,-10.2354098923878,"Q5.fibre_broken","negative","Q6",54.9293014093185,-6.31434346844186,"Q6.fibre_broken","negative","Q7",38.70621984304,0.565797586474778,"Q7.fibre_broken","positive"
"3","fibre_cont","Q1",77.6126992434444,7.85971150909596,"Q1.fibre_cont","positive","Q2",64.0223153777541,8.57408318056901,"Q2.fibre_cont","positive","Q3",74.4391675142441,7.70002714983339,"Q3.fibre_cont","positive","Q4",59.680040304047,4.30457535640808,"Q4.fibre_cont","positive","Q5",57.5442404119438,11.5930809896692,"Q5.fibre_cont","positive","Q6",56.2425436351283,3.38443846406809,"Q6.fibre_cont","positive","Q7",40.6830001510022,-6.99485096644455,"Q7.fibre_cont","negative"
"4","fibre_course","Q1",74.5931228824491,-14.3856815469848,"Q1.fibre_course","negative","Q2",60.7273585050115,-15.6956429054544,"Q2.fibre_course","negative","Q3",72.1983460301371,-12.2100082492115,"Q3.fibre_course","negative","Q4",57.1516007163483,-10.1750093384607,"Q4.fibre_course","negative","Q5",55.2793440766939,-15.4721772767828,"Q5.fibre_course","negative","Q6",53.9555459969791,-8.7850670492473,"Q6.fibre_course","negative","Q7",40.411920981434,5.03608465953116,"Q7.fibre_course","positive"
"5","fibre_curl","Q1",77.3461156290269,-7.99143826973853,"Q1.fibre_curl","negative","Q2",64.4187846756476,-6.70345632765258,"Q2.fibre_curl","negative","Q3",74.0450420120013,-8.21875834198318,"Q3.fibre_curl","negative","Q4",59.4797929938242,-4.53570570954827,"Q4.fibre_curl","negative","Q5",58.6524262792712,-7.38700113165619,"Q5.fibre_curl","negative","Q6",55.3471193255687,-5.72907960794382,"Q6.fibre_curl","negative","Q7",37.2037886277937,-3.78032616712534,"Q7.fibre_curl","negative"
"6","fibre_kink.ang","Q1",79.714233369358,5.53974919434224,"Q1.fibre_kink.ang","positive","Q2",66.1197924722397,9.05719910939142,"Q2.fibre_kink.ang","positive","Q3",76.3958023173339,7.00632111487238,"Q3.fibre_kink.ang","positive","Q4",60.8388777883485,2.91227069080678,"Q4.fibre_kink.ang","positive","Q5",60.3170742849399,13.2224965672519,"Q5.fibre_kink.ang","positive","Q6",57.1522500473864,2.31169677322816,"Q6.fibre_kink.ang","positive","Q7",39.2171651994224,-11.1793078965946,"Q7.fibre_kink.ang","negative"
"7","fibre_kink.cont","Q1",79.5433783657443,5.12671108829651,"Q1.fibre_kink.cont","positive","Q2",65.8114857141361,8.66243048675173,"Q2.fibre_kink.cont","positive","Q3",76.3108872563806,5.21365973776803,"Q3.fibre_kink.cont","positive","Q4",60.6852064646325,3.31348467437224,"Q4.fibre_kink.cont","positive","Q5",60.0074955967997,11.2854207900891,"Q5.fibre_kink.cont","positive","Q6",57.0748126767307,2.1988073868668,"Q6.fibre_kink.cont","positive","Q7",39.6014666034382,-10.7284388091613,"Q7.fibre_kink.cont","negative"
"8","fibre_kink.num","Q1",80.8505600763588,4.97987977636494,"Q1.fibre_kink.num","positive","Q2",68.0662454251747,8.70923283868178,"Q2.fibre_kink.num","positive","Q3",77.4590574160281,3.90430213983492,"Q3.fibre_kink.num","positive","Q4",61.8333935663391,5.16070848640786,"Q4.fibre_kink.num","positive","Q5",62.3289688364401,7.40218860909751,"Q5.fibre_kink.num","positive","Q6",57.7522583387594,2.88369378411292,"Q6.fibre_kink.num","positive","Q7",37.12428416842,-8.76738432127124,"Q7.fibre_kink.num","negative"
"9","fibre_L","Q1",79.4750005330606,3.38112107876518,"Q1.fibre_L","positive","Q2",65.8035380555712,5.1044265325643,"Q2.fibre_L","positive","Q3",76.596201262876,1.43135364575102,"Q3.fibre_L","positive","Q4",60.4667627586476,3.1708709339734,"Q4.fibre_L","positive","Q5",60.5460325185979,3.5454128549761,"Q5.fibre_L","positive","Q6",56.7468865344647,3.13907494324746,"Q6.fibre_L","positive","Q7",38.6335834938502,-0.791628233653705,"Q7.fibre_L","negative"
"10","fibre_L.L","Q1",80.1208321058623,-0.55631643818874,"Q1.fibre_L.L","negative","Q2",66.6335105850674,0.838955826621821,"Q2.fibre_L.L","positive","Q3",77.0319869565717,-2.11518710732191,"Q3.fibre_L.L","negative","Q4",60.9287925993445,1.14103021804301,"Q4.fibre_L.L","positive","Q5",61.4224016669271,-2.88871954677488,"Q5.fibre_L.L","negative","Q6",57.0999418083042,2.33741539565072,"Q6.fibre_L.L","positive","Q7",38.0328042566266,5.33433453435632,"Q7.fibre_L.L","positive"
"11","fibre_L3.L","Q1",80.1278100942297,-3.61831225177599,"Q1.fibre_L3.L","negative","Q2",66.7550358962739,-3.22469202660192,"Q2.fibre_L3.L","negative","Q3",76.9259261417983,-5.04025204156776,"Q3.fibre_L3.L","negative","Q4",61.0378171847753,-0.687244747569632,"Q4.fibre_L3.L","negative","Q5",61.2957620568818,-8.08055147778312,"Q5.fibre_L3.L","negative","Q6",57.2901855492786,0.767915832366662,"Q6.fibre_L3.L","positive","Q7",38.3604848571942,8.75313155021588,"Q7.fibre_L3.L","positive"
"12","fibre_n","Q1",80.0900083937338,-0.348493879584006,"Q1.fibre_n","negative","Q2",66.7713009731535,-1.32065372925877,"Q2.fibre_n","negative","Q3",77.0181657546177,-3.41523350005211,"Q3.fibre_n","negative","Q4",60.8685914553426,3.21034688391138,"Q4.fibre_n","positive","Q5",61.6417411380652,-9.48086553346032,"Q5.fibre_n","negative","Q6",57.2236829697779,1.58084814902759,"Q6.fibre_n","positive","Q7",38.1284469649948,7.38385190431873,"Q7.fibre_n","positive"
"13","fibre_W","Q1",76.2718296885893,-10.7787277637042,"Q1.fibre_W","negative","Q2",62.3379222803441,-12.386969745011,"Q2.fibre_W","negative","Q3",73.0042619570469,-10.9036594137016,"Q3.fibre_W","negative","Q4",58.6063861368066,-6.86541612214176,"Q4.fibre_W","negative","Q5",56.2532031952236,-13.951154463489,"Q5.fibre_W","negative","Q6",54.831836177135,-7.00451877868035,"Q6.fibre_W","negative","Q7",39.8196639720931,3.7603831524823,"Q7.fibre_W","positive"
"14","fine_A","Q1",79.5313078110371,-6.25673797853047,"Q1.fine_A","negative","Q2",65.9272435857658,-8.99852319756787,"Q2.fine_A","negative","Q3",76.1894737771389,-7.62396520776911,"Q3.fine_A","negative","Q4",60.8217040868876,-2.37643751011911,"Q4.fine_A","negative","Q5",59.829396472121,-15.5238855866574,"Q5.fine_A","negative","Q6",57.1746162185691,-1.47039693279028,"Q6.fine_A","negative","Q7",39.6693614857937,13.5858555934519,"Q7.fine_A","positive"
"15","fine_cont","Q1",79.9059675776007,1.62402529317535,"Q1.fine_cont","positive","Q2",66.366191653936,3.30825239308393,"Q2.fine_cont","positive","Q3",76.2739959515355,5.60079793979951,"Q3.fine_cont","positive","Q4",61.2221126405399,-1.89608287123493,"Q4.fine_cont","negative","Q5",60.0962346069563,10.4819828174581,"Q5.fine_cont","positive","Q6",57.2538702552071,0.467289050037604,"Q6.fine_cont","positive","Q7",39.0292274596127,-5.21463763565074,"Q7.fine_cont","negative"
"16","fine_cont.A","Q1",79.9126544112563,-2.21130582799711,"Q1.fine_cont.A","negative","Q2",66.6007191214551,-1.45378142135734,"Q2.fine_cont.A","negative","Q3",76.954548794304,1.45407464665909,"Q3.fine_cont.A","positive","Q4",60.820796455088,-2.85277958033901,"Q4.fine_cont.A","negative","Q5",61.2438559785817,0.980602103708809,"Q5.fine_cont.A","positive","Q6",57.3128589078834,0.151815707524777,"Q6.fine_cont.A","positive","Q7",38.7371384824964,3.36300996324106,"Q7.fine_cont.A","positive"
"17","fine_cont.L","Q1",79.5733710851,-2.35660865667326,"Q1.fine_cont.L","negative","Q2",66.5175239551072,-0.889326891619579,"Q2.fine_cont.L","negative","Q3",77.2232608793167,1.76485556517152,"Q3.fine_cont.L","positive","Q4",60.3687258150934,-3.1080205205684,"Q4.fine_cont.L","negative","Q5",61.7023903733434,2.49882043050849,"Q5.fine_cont.L","positive","Q6",57.2209810263229,-0.381685224878686,"Q6.fine_cont.L","negative","Q7",38.6278951703228,0.633598107017483,"Q7.fine_cont.L","positive"
"18","fine_cont.L.L","Q1",79.5704945771524,-2.40166718743606,"Q1.fine_cont.L.L","negative","Q2",66.4982198407894,-0.993443883416938,"Q2.fine_cont.L.L","negative","Q3",77.197521885262,1.66522715922921,"Q3.fine_cont.L.L","positive","Q4",60.3708068154146,-3.13935600297226,"Q4.fine_cont.L.L","negative","Q5",61.7018769896961,2.52955913667523,"Q5.fine_cont.L.L","positive","Q6",57.2105494401944,-0.4366344920444,"Q6.fine_cont.L.L","negative","Q7",38.6352086405236,0.676984288856872,"Q7.fine_cont.L.L","positive"
"19","fine_L","Q1",80.1308312518884,-4.25837433906532,"Q1.fine_L","negative","Q2",66.8058802356372,-7.32690556006443,"Q2.fine_L","negative","Q3",76.94132773732,-6.75283113229227,"Q3.fine_L","negative","Q4",61.0360712474808,-0.638668089874401,"Q4.fine_L","negative","Q5",61.3702010782714,-14.4749547453422,"Q5.fine_L","negative","Q6",57.3118389315693,-0.731477333059384,"Q6.fine_L","negative","Q7",38.3237563253723,12.4593791184447,"Q7.fine_L","positive"
"20","fine_n","Q1",79.5901124499231,-2.84120057646326,"Q1.fine_n","negative","Q2",66.4634074624302,-1.42794880241223,"Q2.fine_n","negative","Q3",76.9186655487319,0.408555354231321,"Q3.fine_n","positive","Q4",60.6106481867112,-2.45301199031236,"Q4.fine_n","negative","Q5",61.1645420707341,-0.0489134060806325,"Q5.fine_n","negative","Q6",57.2693373699606,-0.191481409283772,"Q6.fine_n","negative","Q7",38.8811971866035,2.28145337507431,"Q7.fine_n","positive"
"21","MF.index","Q1",79.1575632200781,-2.68526624164871,"Q1.MF.index","negative","Q2",65.6604973039095,-3.06751041525199,"Q2.MF.index","negative","Q3",75.2304265081747,-4.74973037700875,"Q3.MF.index","negative","Q4",61.2755233611604,0.72811130009749,"Q4.MF.index","positive","Q5",58.6432705603244,-7.42190183964893,"Q5.MF.index","negative","Q6",56.5411148442949,-2.23207762871459,"Q6.MF.index","negative","Q7",38.3023499268146,-0.561212056097367,"Q7.MF.index","negative"
