Biochemical,Variety,Section,Content
Cellulose,Graingrass,Leaf,22.5
Cellulose,Graingrass,Sheath,31.9
Cellulose,Graingrass,Stem,32.2
Cellulose,GreenleafBMR,Leaf,22.7
Cellulose,GreenleafBMR,Sheath,33.9
Cellulose,GreenleafBMR,Stem,33
Cellulose,Sugargraze,Leaf,27.9
Cellulose,Sugargraze,Sheath,34.8
Cellulose,Sugargraze,Stem(<1m),26
Cellulose,Sugargraze,Stem(>1m),24.3
Cellulose,Yemen,Leaf,27.8
Cellulose,Yemen,Sheath,31.8
Cellulose,Yemen,Stem(<1m),33.4
Cellulose,Yemen,Stem(>1m),27.8
Hemicellulose,Graingrass,Leaf,11.4
Hemicellulose,Graingrass,Sheath,15.4
Hemicellulose,Graingrass,Stem,15.5
Hemicellulose,GreenleafBMR,Leaf,14.8
Hemicellulose,GreenleafBMR,Sheath,17.9
Hemicellulose,GreenleafBMR,Stem,16.4
Hemicellulose,Sugargraze,Leaf,16.6
Hemicellulose,Sugargraze,Sheath,19.5
Hemicellulose,Sugargraze,Stem(<1m),9.5
Hemicellulose,Sugargraze,Stem(>1m),8.7
Hemicellulose,Yemen,Leaf,15.8
Hemicellulose,Yemen,Sheath,16.9
Hemicellulose,Yemen,Stem(<1m),15.5
Hemicellulose,Yemen,Stem(>1m),13.7
Lignin,Graingrass,Leaf,23.8
Lignin,Graingrass,Sheath,20.8
Lignin,Graingrass,Stem,18.8
Lignin,GreenleafBMR,Leaf,23.8
Lignin,GreenleafBMR,Sheath,19.1
Lignin,GreenleafBMR,Stem,18.6
Lignin,Sugargraze,Leaf,21.1
Lignin,Sugargraze,Sheath,18.4
Lignin,Sugargraze,Stem(<1m),17
Lignin,Sugargraze,Stem(>1m),14.1
Lignin,Yemen,Leaf,22.1
Lignin,Yemen,Sheath,18.4
Lignin,Yemen,Stem(<1m),20.7
Lignin,Yemen,Stem(>1m),17.7
Ash,Graingrass,Leaf,19.3
Ash,Graingrass,Sheath,13.4
Ash,Graingrass,Stem,7.7
Ash,GreenleafBMR,Leaf,13.7
Ash,GreenleafBMR,Sheath,14.4
Ash,GreenleafBMR,Stem,7.5
Ash,Sugargraze,Leaf,15.8
Ash,Sugargraze,Sheath,16
Ash,Sugargraze,Stem(<1m),6.4
Ash,Sugargraze,Stem(>1m),6.4
Ash,Yemen,Leaf,11.3
Ash,Yemen,Sheath,9.6
Ash,Yemen,Stem(<1m),4.1
Ash,Yemen,Stem(>1m),5.1
Extractives,Graingrass,Leaf,12.2
Extractives,Graingrass,Sheath,7.5
Extractives,Graingrass,Stem,14.6
Extractives,GreenleafBMR,Leaf,8.6
Extractives,GreenleafBMR,Sheath,5.2
Extractives,GreenleafBMR,Stem,12.5
Extractives,Sugargraze,Leaf,7.4
Extractives,Sugargraze,Sheath,4
Extractives,Sugargraze,Stem(<1m),28.1
Extractives,Sugargraze,Stem(>1m),36.7
Extractives,Yemen,Leaf,8
Extractives,Yemen,Sheath,7
Extractives,Yemen,Stem(<1m),13.6
Extractives,Yemen,Stem(>1m),20.2
