Biomass,Type,Crystallinity
Sorghum,Leaf,52.67436026
Sorghum,Sheath,61.43724696
Sorghum,Stem(<1m),58.96656535
Sorghum,Stem(>1m),54.86815416
Yemen,Leaf,46.84920475
Yemen,Sheath,57.51962956
Yemen,Stem(<1m),61.97183099
Yemen,Stem(>1m),55.81395349
GreenleafBMR,Leaf,44.11764706
GreenleafBMR,Sheath,59.23935091
GreenleafBMR,Stem,60.42944785
Graingrass,Leaf,39.86788618
Graingrass,Sheath,59.28064843
Graingrass,Stem,59.06788247
Softwood,Stem,67.34486267
Banana,Leaf,41.2
Banana,Stem,36.7
Sugarcane,Bagasse,81.08941418
Sugarcane,Mulch,61.10531804
Spinifex,Leaf,52
