angle,wood,banana_leaf,banana_stem,sugarcane_mulch,sugarcane_bagasse,spinifex_leaf,sugargraze_leaf,sugargraze_sheath,sugargraze_lowerstem,sugargraze_upperstem,yemen_leaf,yemen_sheath,yemen_lowerstem,yemen_upperstem,greenleafBMR_leaf,greenleafBMR_sheath,greenleafBMR_stem,graingrass_leaf,graingrass_sheath,graingrass_stem
10,1499,677,479,1233,910,2106.15,3346,3272,2266,2632,2183,2267,2063,2217,2604,2230,2289,1778,2029,1798
10.05,1541,694,487,1223,898,2116.6,3302,3295,2286,2671,2122,2187,2253,2228,2557,2217,2324,1812,2040,1764
10.101,1493,681,498,1181,969,2141.3,3410,3331,2367,2686,2101,2210,2069,2254,2541,2174,2339,1859,2081,1744
10.151,1495,657,498,1296,897,2245.8,3331,3182,2234,2698,2141,2259,2174,2364,2486,2275,2407,1735,2046,1757
10.201,1484,711,496,1169,930,2139.4,3447,3356,2313,2659,2045,2285,2157,2252,2461,2193,2345,1848,2184,1779
10.252,1477,648,487,1288,956,2171.7,3378,3286,2366,2747,2144,2207,2104,2286,2563,2306,2423,1920,2048,1796
10.302,1521,694,508,1208,918,2272.4,3469,3359,2275,2705,2121,2291,2220,2392,2638,2272,2342,1849,2063,1769
10.352,1577,661,498,1251,985,2154.6,3410,3214,2427,2899,2267,2256,2157,2268,2653,2301,2428,1878,2144,1832
10.403,1574,681,462,1321,972,2314.2,3536,3328,2393,2866,2245,2359,2219,2436,2646,2244,2419,1931,2143,1771
10.453,1466,685,479,1277,902,2294.25,3477,3373,2415,2778,2232,2304,2283,2415,2673,2385,2428,1889,2235,1838
10.503,1679,659,448,1311,939,2246.75,3487,3570,2447,2745,2274,2362,2269,2365,2702,2339,2391,1805,2156,1807
10.554,1538,699,528,1263,955,2152.7,3397,3407,2436,2855,2248,2330,2289,2266,2639,2456,2469,1953,2187,1829
10.604,1535,685,508,1313,939,2275.25,3571,3458,2334,2870,2384,2340,2284,2395,2576,2322,2438,1778,2114,1862
10.654,1700,652,495,1241,975,2345.55,3592,3400,2531,2900,2211,2446,2391,2469,2769,2406,2455,1979,2245,1869
10.705,1598,714,469,1315,973,2253.4,3523,3538,2540,2963,2313,2480,2326,2372,2768,2380,2619,1861,2232,1920
10.755,1596,703,490,1339,1046,2338.9,3438,3529,2570,2916,2344,2460,2398,2462,2755,2356,2511,1881,2296,1907
10.805,1559,658,545,1352,958,2321.8,3591,3479,2441,2966,2333,2469,2301,2444,2762,2493,2553,1936,2318,1919
10.855,1638,723,503,1355,1040,2301.85,3594,3563,2551,2980,2411,2409,2379,2423,2642,2485,2477,1928,2278,1874
10.906,1638,649,536,1393,988,2248.65,3590,3545,2581,3018,2238,2472,2375,2367,2789,2430,2671,1916,2240,1890
10.956,1603,681,537,1358,1043,2365.5,3557,3629,2476,3049,2330,2517,2492,2490,2795,2432,2598,1971,2260,1930
11.006,1654,658,524,1353,996,2418.7,3548,3526,2587,3046,2391,2591,2452,2546,2719,2507,2631,1935,2292,2025
