ID,score,parameter,value
Graingrass-Leaf-H,70.38363145,fibre_n,-3.142127243
Graingrass-Leaf-H,70.38363145,fibre_cont,1.966540025
Graingrass-Leaf-H,70.38363145,fibre_L,0.758533264
Graingrass-Leaf-H,70.38363145,fibre_L.L,-0.081455231
Graingrass-Leaf-H,70.38363145,fibre_L3.L,-0.734964001
Graingrass-Leaf-H,70.38363145,fibre_A.L,-0.494187787
Graingrass-Leaf-H,70.38363145,fibre_W,-1.537534475
Graingrass-Leaf-H,70.38363145,fibre_course,-1.177511354
Graingrass-Leaf-H,70.38363145,fibre_kink.num,-0.600845484
Graingrass-Leaf-H,70.38363145,fibre_kink.ang,1.31566819
Graingrass-Leaf-H,70.38363145,fibre_kink.cont,0.864708467
Graingrass-Leaf-H,70.38363145,fibre_curl,-1.450300338
Graingrass-Leaf-H,70.38363145,MF.index,-1.700853367
Graingrass-Leaf-H,70.38363145,fibre_broken,-1.486807205
Graingrass-Leaf-H,70.38363145,fine_n,-0.526661563
Graingrass-Leaf-H,70.38363145,fine_cont,2.774746366
Graingrass-Leaf-H,70.38363145,fine_cont.A,0.527865196
Graingrass-Leaf-H,70.38363145,fine_cont.L,0.26329741
Graingrass-Leaf-H,70.38363145,fine_cont.L.L,0.294726879
Graingrass-Leaf-H,70.38363145,fine_A,-2.026898545
Graingrass-Leaf-H,70.38363145,fine_L,-2.156114621
Graingrass-Leaf-L,69.7123768,fibre_n,0.435320789
Graingrass-Leaf-L,69.7123768,fibre_cont,-0.380831714
Graingrass-Leaf-L,69.7123768,fibre_L,-1.647299146
Graingrass-Leaf-L,69.7123768,fibre_L.L,-0.510860845
Graingrass-Leaf-L,69.7123768,fibre_L3.L,0.392031255
Graingrass-Leaf-L,69.7123768,fibre_A.L,-1.548249597
Graingrass-Leaf-L,69.7123768,fibre_W,0.052775014
Graingrass-Leaf-L,69.7123768,fibre_course,0.044299578
Graingrass-Leaf-L,69.7123768,fibre_kink.num,-0.431579293
Graingrass-Leaf-L,69.7123768,fibre_kink.ang,-0.710419987
Graingrass-Leaf-L,69.7123768,fibre_kink.cont,-1.077568638
Graingrass-Leaf-L,69.7123768,fibre_curl,-0.090154955
Graingrass-Leaf-L,69.7123768,MF.index,0.238995097
Graingrass-Leaf-L,69.7123768,fibre_broken,0.383672071
Graingrass-Leaf-L,69.7123768,fine_n,0.689281731
Graingrass-Leaf-L,69.7123768,fine_cont,0.289015021
Graingrass-Leaf-L,69.7123768,fine_cont.A,1.45022331
Graingrass-Leaf-L,69.7123768,fine_cont.L,1.123384495
Graingrass-Leaf-L,69.7123768,fine_cont.L.L,0.94730955
Graingrass-Leaf-L,69.7123768,fine_A,1.1393541
Graingrass-Leaf-L,69.7123768,fine_L,0.977275749
Graingrass-Leaf-M,83.23881039,fibre_n,0.43071018
Graingrass-Leaf-M,83.23881039,fibre_cont,0.095119134
Graingrass-Leaf-M,83.23881039,fibre_L,-0.50769432
Graingrass-Leaf-M,83.23881039,fibre_L.L,0.106409724
Graingrass-Leaf-M,83.23881039,fibre_L3.L,0.332715715
Graingrass-Leaf-M,83.23881039,fibre_A.L,-0.667119803
Graingrass-Leaf-M,83.23881039,fibre_W,-0.56674314
Graingrass-Leaf-M,83.23881039,fibre_course,-0.444424795
Graingrass-Leaf-M,83.23881039,fibre_kink.num,-0.431579293
Graingrass-Leaf-M,83.23881039,fibre_kink.ang,0.652971009
Graingrass-Leaf-M,83.23881039,fibre_kink.cont,-0.418538891
Graingrass-Leaf-M,83.23881039,fibre_curl,-0.574621454
Graingrass-Leaf-M,83.23881039,MF.index,0.07228937
Graingrass-Leaf-M,83.23881039,fibre_broken,-0.046237474
Graingrass-Leaf-M,83.23881039,fine_n,1.179581343
Graingrass-Leaf-M,83.23881039,fine_cont,1.319362037
Graingrass-Leaf-M,83.23881039,fine_cont.A,1.417847246
Graingrass-Leaf-M,83.23881039,fine_cont.L,1.16514567
Graingrass-Leaf-M,83.23881039,fine_cont.L.L,1.030173547
Graingrass-Leaf-M,83.23881039,fine_A,-0.077216066
Graingrass-Leaf-M,83.23881039,fine_L,-0.067187708
