Sample Name,Variety,Replicate,Section,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
Sugargraze-1-Leaf-DL,Sugargraze,1,Leaf,1,3971,2.005,173,207,248,208,47.2,2.63,1.069,103.243,0.82,13.968,1.33,79.19,367537,175.083,40.36,93.531,92.273,574,29
Sugargraze-1-Leaf-DL,Sugargraze,1,Leaf,2,3284,1.997,177,212,252,211,48.7,2.5893,1.065,90.039,1.041,14.763,1.49,79.568,325059,185.438,36.293,93.763,92.425,550,28
Sugargraze-1-Leaf-DL,Sugargraze,1,Leaf,3,3900,1.75,172,203,240,205,47.9,3.024,1.029,102.649,0.927,14.54,1.447,81.092,355015,150.596,37.048,93.412,92.4,568,29
Sugargraze-1-Leaf-DL,Sugargraze,1,Leaf,4,3912,2.035,176,214,259,220,48.5,2.5567,1,107.968,1.012,14.394,1.395,79.876,371665,180.614,36.299,93.673,92.177,554,28
Sugargraze-1-Sheath-DL,Sugargraze,1,Sheath,1,3242,1.854,176,209,245,210,46.7,2.7837,1.091,112.159,0.713,13.195,1.776,79.071,327352,177.596,39.969,93.911,92.769,563,29
Sugargraze-1-Sheath-DL,Sugargraze,1,Sheath,2,3460,1.883,171,201,237,205,45.8,2.7978,1,125.714,0.422,12.775,1.761,77.149,347668,179.975,40.926,94.08,93.087,567,29
Sugargraze-1-Sheath-DL,Sugargraze,1,Sheath,3,2386,1.906,179,212,243,212,45.6,2.7055,1.077,122.189,0.61,12.734,1.51,76.159,267779,202.094,44.587,94.496,93.176,562,29
Sugargraze-1-Sheath-DL,Sugargraze,1,Sheath,4,3500,2.277,176,208,245,212,46.8,2.2924,1.12,122.7,0.748,13.232,1.656,76.879,322306,198.91,43.478,93.671,92.338,577,29
Sugargraze-1-Stem(<1m)-DL,Sugargraze,1,Stem(<1m),1,14779,7.061,177,221,293,242,33.1,0.7134,1.034,115.642,0.453,7.551,1.054,55.269,667606,306.91,49.62,88.902,86.546,670,33
Sugargraze-1-Stem(<1m)-DL,Sugargraze,1,Stem(<1m),2,17950,6.459,178,226,297,246,33,0.7804,1.028,118.819,0.45,7.605,1.178,55.467,776156,268.837,47.302,88.422,85.432,679,33
Sugargraze-1-Stem(<1m)-DL,Sugargraze,1,Stem(<1m),3,14784,6.42,179,226,302,247,32.7,0.7777,1.042,121.196,0.375,7.399,1.067,54.372,700790,292.631,47.899,89.209,86.797,665,32
Sugargraze-1-Stem(<1m)-DL,Sugargraze,1,Stem(<1m),4,14694,6.482,178,224,299,244,32.8,0.7716,1.016,120.352,0.49,7.5,0.914,54.424,681675,289.863,53.156,89.089,86.696,666,32
Sugargraze-3-Stem(>1m)-DL,Sugargraze,3,Stem(>1m),1,16081,4.772,163,192,238,210,32.4,1.1144,1,128.59,0.467,7.648,1.519,59.463,1521996,436.421,73.424,94.754,93.926,662,32
Sugargraze-3-Stem(>1m)-DL,Sugargraze,3,Stem(>1m),2,15175,4.816,162,191,237,210,32.5,1.1047,1,126.386,0.428,7.571,1.482,60.018,1503429,460.231,72.981,94.939,94.144,657,32
Sugargraze-3-Stem(>1m)-DL,Sugargraze,3,Stem(>1m),3,17104,4.936,163,191,235,209,32.5,1.0794,1,121.081,0.39,7.555,1.489,59.192,1603264,446.422,71.804,94.629,93.879,660,32
Sugargraze-3-Stem(>1m)-DL,Sugargraze,3,Stem(>1m),4,17217,4.94,163,197,244,211,32.2,1.0737,1,125.44,0.478,7.61,1.556,58.919,1648400,457.538,72.79,94.717,93.617,660,32
Yemen-2-Leaf-DL,Yemen,2,Leaf,1,4361,1.804,171,205,248,211,45.3,2.9287,1.032,104.559,0.808,13.098,2.005,77.374,448171,176.028,37.369,94.553,93.095,568,29
