"biochem.ID","fibre_n_mean","fibre_cont_mean","fibre_L_mean","fibre_L.L_mean","fibre_L3.L_mean","fibre_A.L_mean","fibre_W_mean","fibre_course_mean","fibre_kink.num_mean","fibre_kink.ang_mean","fibre_kink.cont_mean","fibre_curl_mean","MF.index_mean","fibre_broken_mean","fine_n_mean","fine_cont_mean","fine_cont.A_mean","fine_cont.L_mean","fine_cont.L.L_mean","fine_A_mean","fine_L_mean"
"Graingrass-Leaf",3273,1.61725,179.75,211,245.25,213.25,52.55,3.2568,1.055,124.532,0.91425,15.651,1.246,83.78525,472447.25,220.987,36.92975,95.1145,94.283,422.5,26
"Graingrass-Sheath",2957.75,1.8785,174.5,208,243,211.75,45.525,2.786475,1.0455,130.9545,0.636,12.0825,1.17825,75.72175,484371.25,294.03025,53.93725,96.1745,95.29525,517.5,28
"Graingrass-Stem",12574.75,4.5415,172.75,212.5,274.5,237,35.25,1.1208,1.03125,126.36425,0.5485,8.346,1.452,61.3165,1074363,373.14125,54.576,93.606,92.39875,617,31
"GreenleafBMR-Leaf",5804,2.484,172,207.25,254.75,212.25,47.175,2.160825,1.06025,121.03775,0.81575,13.3915,1.61975,79.33775,573734.25,233.75975,43.99925,93.814,92.6755,536.5,28
"GreenleafBMR-Sheath",3606,2.21475,184,226.75,273,234.5,46.55,2.239675,1.08725,133.57675,0.77525,12.46475,1.23275,75.704,345061.5,201.40175,36.16225,93.14625,91.5325,520.5,28
"GreenleafBMR-Stem",21406.5,6.642,164.75,193.25,238.5,205.5,30.3,0.797875,1.00975,120.2295,0.41025,6.9405,1.36275,55.6975,1650745.75,496.1435,72.64825,93.44775,92.469,635.5,32
"Sugargraze-Leaf",3766.75,1.94675,174.5,209,249.75,211,48.075,2.7,1.04075,100.97475,0.95,14.41625,1.4155,79.9315,354819,172.93275,37.5,93.59475,92.31875,561.5,28.5
"Sugargraze-Sheath",3147,1.98,175.5,207.5,242.5,209.75,46.225,2.64485,1.072,120.6905,0.62325,12.984,1.67575,77.3145,316276.25,189.64375,42.24,94.0395,92.8425,567.25,29
"Sugargraze-Stem(<1m)",15551.75,6.6055,178,224.25,297.75,244.75,32.9,0.760775,1.03,119.00225,0.442,7.51375,1.05325,54.883,706556.75,289.56025,49.49425,88.9055,86.36775,670,32.5
"Sugargraze-Stem(>1m)",16394.25,4.866,162.75,192.75,238.5,210,32.4,1.09305,1,125.37425,0.44075,7.596,1.5115,59.398,1569272.25,450.153,72.74975,94.75975,93.8915,659.75,32
"Yemen-Leaf",3792.5,1.8345,172.75,208,249.5,213.5,44.45,2.84305,1.08475,104.6595,0.818,12.58675,1.91675,75.468,399864.75,184.27675,35.94175,94.49025,93.05425,563.75,29
"Yemen-Sheath",2758,2.1405,179.75,216,251.75,211.25,44.925,2.3913,1.13575,119.0585,0.81475,12.83125,1.52125,74.27475,264916.5,194.0805,38.64175,93.653,92.11025,574,29
"Yemen-Stem(<1m)",13103.25,4.77225,186,239.25,321.5,255,36.9,1.031125,1.039,126.297,0.643,8.73725,1.1905,62.22575,709204.75,247.454,43.82225,89.48375,87.16425,633.25,31
"Yemen-Stem(>1m)",17749.25,5.3675,165.5,194.25,238.75,209.75,34.025,0.99275,1.0135,120.60625,0.53975,8.26,1.58475,61.58325,1222451.5,356.98875,58.862,92.768,91.732,666,32
