Sample_name,Variety,Replicate,Section,HPH,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,1,50108,34.103,249,355,488,330,17.8,0.0989,1.049,131.21,4.125,4.741,1.374,35.369,998120,654.985,51.729,75.514,68,810,38
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,2,50130,34.687,248,354,486,330,17.8,0.0975,1.051,132.009,4.066,4.701,1.296,35.089,998743,667.537,52.373,75.763,67.993,807,38
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,3,50117,35.318,248,355,486,330,17.7,0.0957,1.053,133.482,4.032,4.627,1.243,34.733,1009863,687.181,52.755,75.747,68.203,802,38
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,4,50130,34.891,247,352,482,325,18.1,0.098,1.047,132.439,4.082,4.889,1.387,36.345,964550,648.555,51.176,75.325,67.578,819,38
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,1,48776,26.325,245,358,501,328,18.4,0.1268,1.034,121.728,1.835,4.408,1.003,32.351,1097141,571.409,60.859,78.661,71.065,883,39
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,2,50076,26.877,244,356,499,327,18.5,0.1259,1.034,122.394,1.919,4.488,1.073,33.138,1072390,556.23,59.602,78.081,70.568,921,40
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,3,48608,26.368,243,354,495,324,18.5,0.1279,1.033,124.643,1.766,4.439,1.036,32.968,1064179,557.277,60.875,78.392,71.2,923,40
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,4,48237,26.373,243,354,493,322,18.3,0.1265,1.034,123.625,1.719,4.366,1.005,31.878,1089979,576.008,60.089,78.305,71.251,876,39
Sugargraze-1-Leaf-H,Sugargraze,1,Leaf,H,1,34394,64.687,278,368,470,357,13.8,0.0456,1.046,135.606,8.246,4.148,0.64,21.328,570488,1027.521,40.198,66.022,58.634,524,32
Sugargraze-1-Leaf-H,Sugargraze,1,Leaf,H,2,34961,64.588,278,370,473,358,13.7,0.0456,1.048,134.898,8.578,4.17,0.608,20.79,577221,1021.325,40.315,65.85,58.425,524,32
