Sample Name,Variety,Replicate,Section,HPH,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
Sugargraze-1-Leaf-DL,Sugargraze,1,Leaf,DL,1,15910,3.555,204,285,413,265,42.1,1.2366,1.075,110.762,2.024,12.815,1.531,69.494,149501,31.386,9.544,65.668,56.78,1192,41
Sugargraze-1-Leaf-DL,Sugargraze,1,Leaf,DL,2,15609,3.641,204,282,404,261,41.9,1.2035,1.038,108.663,2.201,12.69,1.643,67.9,149713,32.789,9.288,66.242,57.657,1173,41
Sugargraze-1-Leaf-DL,Sugargraze,1,Leaf,DL,3,17292,3.822,204,282,408,263,41.9,1.1547,1.061,109.426,2.1,12.743,1.488,68.905,160939,33.483,9.642,65.788,57.128,1186,41
Sugargraze-1-Leaf-DL,Sugargraze,1,Leaf,DL,4,13965,3.548,205,284,403,265,42.2,1.2272,1.059,112.72,2.151,12.799,1.557,69.242,141561,33.75,9.922,67.189,58.618,1154,41
Sugargraze-1-Sheath-DL,Sugargraze,1,Sheath,DL,1,3506,2.317,200,247,296,248,45.3,1.9372,1.075,113.604,2.588,12.783,2.329,70.371,38623,22.07,9.175,65.128,60.657,1094,38
Sugargraze-1-Sheath-DL,Sugargraze,1,Sheath,DL,2,4135,3.737,196,242,294,246,44.6,1.2339,1.061,116.644,2.502,12.581,2.299,69.281,44252,34.867,8.559,66.044,61.426,1114,39
Sugargraze-1-Sheath-DL,Sugargraze,1,Sheath,DL,3,3506,2.317,200,247,296,248,45.3,1.9372,1.075,113.604,2.588,12.783,2.329,70.371,38623,22.07,9.175,65.128,60.657,1094,38
Sugargraze-1-Sheath-DL,Sugargraze,1,Sheath,DL,4,4135,3.737,196,242,294,246,44.6,1.2339,1.061,116.644,2.502,12.581,2.299,69.281,44252,34.867,8.559,66.044,61.426,1114,39
Sugargraze-1-Stem(<1m)-DL,Sugargraze,1,Stem(<1m),DL,1,30883,7.705,209,266,354,279,37.4,0.568,1.055,89.667,2.996,11.871,1.95,59.341,95436,22.434,6.037,42.519,35.329,1532,48
Sugargraze-1-Stem(<1m)-DL,Sugargraze,1,Stem(<1m),DL,2,32000,7.55,210,268,357,281,37.9,0.5753,1.041,89.018,2.912,11.971,2.001,59.008,99695,22.124,6.344,42.272,35.169,1513,47
Sugargraze-1-Stem(<1m)-DL,Sugargraze,1,Stem(<1m),DL,3,28300,7.108,210,270,367,284,37.7,0.6136,1.031,89.481,2.936,11.909,1.949,59.029,91240,21.755,6.326,42.895,35.302,1493,46
Sugargraze-1-Stem(<1m)-DL,Sugargraze,1,Stem(<1m),DL,4,28536,7.556,210,269,361,283,37.8,0.5746,1.042,85.599,3.004,12.004,1.958,60.473,92385,23.181,5.881,42.688,35.598,1486,47
