sample_name,SC,pass,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L,Strain*,UTS*,E*,UT *,TI*
Sorg-Ex10-1,10,1,50114,29.355,235,327,450,315,19.9,0.1234,1.098,127.283,7.531,6.187,1.115,33.335,722998,407.22,43.888,69.813,62.466,817,38,1.480625,36.210625,4.21375,0.33,51.6622359
Sorg-Ex10-1,10,1,50159,28.763,235,325,448,312,19.9,0.1253,1.098,126.885,7.235,6.184,1.126,33.121,725018,399.895,43.318,69.551,62.575,818,38,1.480625,36.210625,4.21375,0.33,51.6622359
Sorg-Ex10-1,10,1,50135,28.915,235,326,451,313,20,0.1252,1.097,126.188,7.466,6.221,1.121,32.88,724257,402.442,44.149,69.93,62.559,823,38,1.480625,36.210625,4.21375,0.33,51.6622359
Sorg-Ex10-1,10,1,50101,28.615,234,324,446,312,19.9,0.1268,1.101,127.395,7.342,6.178,1.134,33.763,729206,401.422,43.992,70.071,62.804,818,38,1.480625,36.210625,4.21375,0.33,51.6622359
Sorg-Ex10-2,10,2,50079,33.599,238,329,452,319,18.3,0.1055,1.093,126.394,8.287,5.935,1.069,29.969,640644,413.151,42.602,67.152,59.59,813,38,2.460625,44.815625,4.579375,0.776875,56.19830849
Sorg-Ex10-2,10,2,50108,33.958,238,329,450,319,18.3,0.1041,1.103,126.58,8.533,5.902,1.049,30.152,646654,421.067,43.21,67.784,59.63,803,38,2.460625,44.815625,4.579375,0.776875,56.19830849
Sorg-Ex10-2,10,2,50030,33.013,238,329,453,321,18.2,0.1067,1.1,125.786,8.484,5.973,1.077,29.785,659526,418.452,42.605,67.818,60.15,803,38,2.460625,44.815625,4.579375,0.776875,56.19830849
Sorg-Ex10-2,10,2,50096,33.821,239,331,455,320,18.3,0.1043,1.102,126.579,8.61,5.912,1.048,29.603,650438,421.974,43.115,67.574,59.682,805,38,2.460625,44.815625,4.579375,0.776875,56.19830849
Sorg-Ex10-3,10,3,50067,34.162,237,327,454,318,18.2,0.1049,1.104,125.786,8.655,6.109,1.096,30.234,655256,430.863,43.992,68.498,60.066,798,38,2.716666667,51.37666667,4.986666667,1.063846154,58.330334
Sorg-Ex10-3,10,3,50025,33.261,236,324,444,314,18.2,0.1075,1.11,126.261,8.713,6.007,1.065,29.645,661435,423.567,44.37,68.005,60.546,800,38,2.716666667,51.37666667,4.986666667,1.063846154,58.330334
Sorg-Ex10-3,10,3,50039,33.37,234,321,441,311,18.5,0.1092,1.114,126.082,8.465,6.142,1.119,31.645,648884,416.833,44.925,68.581,61.292,870,39,2.716666667,51.37666667,4.986666667,1.063846154,58.330334
Sorg-Ex10-3,10,3,50097,33.479,235,322,440,312,18,0.1069,1.094,125.014,8.824,6.028,1.073,29.755,695989,449.664,44.842,69.033,61.754,794,38,2.716666667,51.37666667,4.986666667,1.063846154,58.330334
Sorg-Ex15-1,15,1,50131,31.115,234,319,435,310,18.3,0.1182,1.152,116.974,10.941,7.576,1.11,30.549,702318,419.732,44.735,68.932,62.029,803,37,2.41875,41.23125,3.92,0.71125,49.05238094
Sorg-Ex15-1,15,1,49505,28.859,233,317,430,308,18.6,0.1283,1.153,115.441,11.833,8.051,1.128,30.411,714446,400.437,44.838,69.723,62.871,798,37,2.41875,41.23125,3.92,0.71125,49.05238094
Sorg-Ex15-1,15,1,45751,31.939,232,319,436,310,17.5,0.1133,1.149,120.295,10.663,6.851,0.899,28.243,681961,460.095,48.147,70.231,63.409,788,37,2.41875,41.23125,3.92,0.71125,49.05238094
Sorg-Ex15-1,15,1,50007,31.135,232,318,436,307,18,0.1176,1.139,118.41,10.609,7.11,1.027,29.391,721856,433.433,46.82,69.821,62.815,790,37,2.41875,41.23125,3.92,0.71125,49.05238094
Sorg-Ex15-2,15,2,50152,27.738,233,319,436,307,19.6,0.1326,1.126,119.946,9.629,7.13,1.116,32.782,693446,369.072,44.052,69.128,62.231,849,38,2.088571429,37.36571429,3.82,0.542857143,48.84572971
Sorg-Ex15-2,15,2,50038,28.243,232,320,443,310,19.4,0.1305,1.122,120.07,9.788,7.032,1.054,31.446,691091,374.507,44.907,69.373,62.095,848,38,2.088571429,37.36571429,3.82,0.542857143,48.84572971
Sorg-Ex15-2,15,2,50165,27.676,231,317,435,305,19.2,0.1326,1.138,121.398,9.326,6.8,1.052,31.989,718636,380.883,45.895,70.051,63.165,844,38,2.088571429,37.36571429,3.82,0.542857143,48.84572971
Sorg-Ex15-2,15,2,50045,26.948,235,325,448,311,20,0.1363,1.144,119.549,10.057,7.301,1.074,33.615,683542,353.656,43.503,68.905,61.628,857,38,2.088571429,37.36571429,3.82,0.542857143,48.84572971
Sorg-Ex15-3,15,3,50067,33.505,234,320,440,310,18.4,0.11,1.137,119.292,10.887,7.24,1.037,31.398,649877,418.105,43.857,67.87,60.645,827,38,3.057142857,45.60571429,3.994285714,1.012857143,53.16322033
Sorg-Ex15-3,15,3,50026,31.224,233,317,432,307,18.9,0.1192,1.138,118.262,10.716,7.429,1.132,32.279,646162,386.708,43.311,68.056,60.879,843,38,3.057142857,45.60571429,3.994285714,1.012857143,53.16322033
