sample_name,age,SC,pass,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
Sorg-Ex20-1,new,20,1,49755,31.402,231,313,423,304,17,0.1179,1.143,120.256,11.82,7.402,1.037,29.223,853783,518.954,50.037,72.991,66.749,770,37
Sorg-Ex20-1,new,20,1,50032,30.426,230,310,420,301,17.2,0.1226,1.158,120.16,11.596,7.548,1.112,30.033,841110,494.139,49.386,72.996,66.649,779,37
Sorg-Ex20-1,new,20,1,50038,31.239,230,312,426,304,17.3,0.1195,1.16,120.438,11.557,7.571,1.137,30.588,826192,498.128,48.823,72.438,66.344,795,37
Sorg-Ex20-1,new,20,1,50017,30.462,230,309,417,302,17,0.1216,1.153,119.632,11.461,7.479,1.079,29.221,865399,507.603,50.184,72.942,67.004,762,36
Sorg-Ex20-2,new,20,2,50126,34.396,228,307,415,300,16.3,0.1087,1.137,121.885,11.771,7.191,1.011,28.611,878943,583.076,51.433,73.69,67.516,745,36
Sorg-Ex20-2,new,20,2,50089,34.965,228,307,415,299,16.2,0.1068,1.141,121.498,11.675,7.18,0.983,28.501,883263,594.737,51.615,73.708,67.638,746,36
Sorg-Ex20-2,new,20,2,50131,34.283,228,307,415,300,16.3,0.1089,1.145,121.695,11.701,7.276,1.069,28.652,877304,579.573,50.725,73.423,67.499,748,36
Sorg-Ex20-2,new,20,2,50093,34.95,228,307,416,299,16.3,0.107,1.144,121.687,11.748,7.205,0.992,28.502,869075,584.153,50.012,73.224,67.268,745,36
Sorg-Ex20-3,new,20,3,50031,32.981,227,304,408,297,17,0.1141,1.141,119.835,11.448,7.425,1.067,29.658,806939,513.789,48.493,71.926,66.18,769,37
Sorg-Ex20-3,new,20,3,47630,32.766,227,304,409,296,16.8,0.1147,1.145,120.384,11.408,7.264,0.95,28.698,811640,538.283,51.025,73.24,67.146,758,37
Sorg-Ex20-3,new,20,3,49794,33.927,227,304,411,296,16.8,0.1106,1.142,119.991,11.268,7.273,0.955,28.638,826892,542.563,50.315,72.836,66.644,766,37
Sorg-Ex20-3,new,20,3,40597,33.354,227,304,409,296,16.7,0.1121,1.14,120.712,11.332,7.131,0.862,28.07,692037,546.014,51.555,73.1,67.173,759,37
Sorg-Ex20-5,new,20,5,50049,34.135,228,305,410,300,16.7,0.1101,1.149,120.706,11.658,7.228,0.975,28.491,837631,551.506,50.013,72.927,66.715,755,37
Sorg-Ex20-5,new,20,5,50068,33.014,227,304,408,296,16.8,0.1143,1.151,120.663,11.58,7.277,1.024,29.589,836662,532.573,50.067,72.939,66.79,761,37
Sorg-Ex20-5,new,20,5,48737,33.145,225,301,404,295,16.8,0.1141,1.147,120.849,11.275,7.2,0.969,28.6,847520,555.572,51.219,73.915,67.853,760,37
Sorg-Ex20-5,new,20,5,50036,34.082,227,306,412,300,16.9,0.1108,1.151,121.056,11.579,7.331,1.078,29.608,838463,549.169,47.8,72.576,66.721,759,37
Sorg-Ex25-1,new,25,1,50054,32.267,226,301,403,297,16.5,0.1173,1.134,120.96,11.139,7.421,1.136,30.486,976725,607.384,51.591,75.457,69.818,725,36
Sorg-Ex25-1,new,25,1,50129,32.966,227,304,409,299,16.5,0.1146,1.136,121.25,11.437,7.406,1.184,30.215,963716,612.017,50.902,74.982,69.322,729,36
Sorg-Ex25-1,new,25,1,50120,32.569,227,303,409,297,16.4,0.1161,1.154,121.812,11.279,7.399,1.085,30.259,980381,616.54,51.913,75.343,69.771,728,36
Sorg-Ex25-1,new,25,1,50076,32.777,226,303,407,298,16.5,0.1161,1.141,121.253,11.132,7.378,1.107,29.821,977950,617.32,52.225,75.555,69.736,726,36
Sorg-Ex25-2,new,25,2,50100,33.821,225,303,408,295,16.4,0.1123,1.152,122.393,11.46,7.316,1.161,29.921,930415,606.93,51.604,74.689,68.91,740,36
Sorg-Ex25-2,new,25,2,50023,33.653,226,303,409,297,16.3,0.1121,1.136,121.787,11.562,7.324,1.078,29.637,938335,610.323,51.507,74.765,69.07,740,36
Sorg-Ex25-2,new,25,2,50096,34.02,225,302,409,295,16.4,0.1115,1.139,121.949,11.51,7.338,1.148,30.273,935578,613.932,51.979,74.853,69.119,746,36
Sorg-Ex25-2,new,25,2,50129,34.303,225,302,406,295,16.3,0.1107,1.138,121.538,11.296,7.304,1.094,30.512,942168,621.85,51.769,74.927,69.209,737,36
