Process,Level,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
HPH,L,4,50099,35.153,246,349,489,352,19.3,0.0974,1.036,116.585,2.375,4.836,1.251,31.616,560892,379.789,37.153,65.534,56.264,876,40
HPH,L,3,50199,34.501,247,350,490,353,19.2,0.099,1.046,118.135,2.362,4.844,1.277,31.999,556529,368.513,35.242,64.721,55.953,872,40
HPH,L,2,50157,33.755,246,349,492,353,19.2,0.101,1.046,117.344,2.211,4.776,1.254,31.541,565676,366.47,36.861,65.604,56.352,872,40
HPH,L,1,50000,33.5,245,348,491,350,19.2,0.1015,1.042,118.094,2.125,4.756,1.269,32.073,577707,372.788,37.386,65.909,57.095,871,40
HPH,M,4,50086,40.193,258,362,498,366,17.7,0.0825,1.043,128.325,3.726,4.546,1.282,30.967,541838,417.995,32.984,61.943,53.166,772,38
HPH,M,3,50112,40.538,258,363,500,363,17.7,0.0816,1.061,127.546,3.622,4.557,1.294,30.979,538238,419.31,33.814,62.077,52.882,769,38
HPH,M,2,50044,39.789,258,363,502,366,17.7,0.0829,1.047,127.012,3.672,4.469,1.232,30.633,551524,421.719,33.876,62.4,53.411,764,38
HPH,M,1,50185,39.461,258,363,503,364,17.8,0.0838,1.062,126.813,3.576,4.558,1.335,30.916,553764,419.095,33.678,62.398,53.366,766,38
HPH,H,4,50226,53.024,262,357,480,361,16.3,0.0617,1.071,131.027,6.977,4.946,1.553,30.168,565944,576.476,27.996,60.67,52.194,619,35
HPH,H,3,50122,57.096,260,353,471,355,15.5,0.056,1.077,131.241,7.069,4.651,1.217,26.227,549317,601.695,29.496,59.908,51.234,589,34
HPH,H,2,50179,52.088,260,355,479,356,16,0.0624,1.071,131.35,6.763,4.787,1.404,28.839,591551,591.316,29.934,61.512,53.261,607,34
HPH,H,1,50077,52.466,260,352,471,355,16,0.0619,1.074,131.84,6.742,4.733,1.395,28.484,588253,595.033,30.03,61.72,53.307,605,34
Bead Mill,L,4,50176,33.766,220,289,386,307,22.9,0.1187,1.071,123.117,4.494,6.684,2.14,44.272,562320,366.567,31.55,67.405,60.541,871,40
Bead Mill,L,3,50168,34.651,221,290,386,308,23.1,0.1156,1.084,122.614,4.415,6.735,2.251,44.762,558452,373.615,30.054,66.789,60.256,866,40
Bead Mill,L,2,50062,34.457,220,289,386,308,23.1,0.1167,1.073,122.905,4.314,6.717,2.237,44.957,571697,381.296,30.532,67.366,60.811,864,40
Bead Mill,L,1,50135,33.453,220,289,387,306,23,0.12,1.086,123.173,4.404,6.745,2.17,44.826,618405,399.667,31.224,67.987,61.837,820,38
Bead Mill,H,4,39939,33.996,178,211,259,221,23.3,0.1387,1.044,116.14,2.038,6.305,2.446,49.926,992608,822.011,52.164,83.285,80.761,728,36
Bead Mill,H,3,39983,33.465,178,213,264,223,23.2,0.1403,1.063,116.53,2.087,6.288,2.554,49.448,995609,811.831,52.651,83.287,80.645,727,37
Bead Mill,H,2,39850,34.101,179,213,263,224,23.4,0.1373,1.061,116.118,2.32,6.418,2.544,49.703,991389,825.329,51.841,83.232,80.588,725,36
Bead Mill,H,1,40425,34.894,179,212,260,222,23.4,0.1351,1.052,113.952,2.124,6.344,2.53,50.328,987130,831.407,52.476,83.159,80.521,737,37
Silverson,LL,4,50074,19.411,231,337,493,320,25.5,0.1874,1.044,110.018,2.568,7.366,1.234,42.501,777235,289.204,38.515,72.591,64.423,921,40
Silverson,LL,3,46591,19.526,232,339,493,323,25.2,0.1848,1.043,110.482,2.529,7.241,1.165,42.254,728926,293.115,39.202,72.449,64.502,923,40
Silverson,LL,2,50060,19.213,234,341,498,324,25.2,0.1867,1.044,109.152,2.758,7.364,1.258,41.692,800110,295.155,39.221,72.888,64.646,901,39
Silverson,LL,1,50098,19.337,231,336,485,318,25,0.1872,1.048,111.593,2.7,7.284,1.257,41.907,804761,298.689,39.253,72.91,65.167,904,39
Silverson,L,4,50053,23.683,244,350,495,332,22.7,0.1428,1.053,108.904,2.548,6.377,1.121,35.834,707516,321.465,40.521,69.869,61.308,886,39
Silverson,L,3,50088,23.572,244,352,501,334,22.5,0.1428,1.03,111.659,2.586,6.348,1.154,35.724,718552,324.574,39.553,69.898,61.434,878,39
Silverson,L,2,50090,24.237,243,348,492,332,22.5,0.1393,1.042,110.078,2.558,6.335,1.145,35.955,726031,337.885,39.975,70.471,61.858,878,39
Silverson,L,1,50133,23.707,244,347,488,331,22.6,0.1417,1.041,107.57,2.641,6.344,1.096,35.076,740307,335.806,40.715,70.214,62.194,861,39
Silverson,M,2,50141,25.986,246,351,491,335,21.9,0.1296,1.047,110.096,2.755,6.183,1.108,35.079,676949,336.794,38.857,68.693,60.163,880,39
Silverson,M,1,50170,26.091,245,347,486,332,22,0.1292,1.032,111.171,2.656,6.205,1.063,35.022,685742,342.81,38.794,69.049,60.603,877,39
Silverson,M,4,50139,25.94,246,352,495,336,21.9,0.1294,1.036,111.36,2.739,6.116,1.119,34.568,684881,340.617,38.869,68.859,60.317,877,39
Silverson,M,3,50075,25.816,246,350,488,333,21.9,0.1295,1.031,112.914,2.568,6.124,1.08,34.688,691409,342.659,39.979,68.947,60.632,869,39
Silverson,H,4,50108,28.479,248,352,495,336,21,0.1176,1.046,116.323,2.847,5.81,1.187,33.724,639001,349.653,37.273,67.302,58.662,869,39
Silverson,H,3,50165,29.751,247,350,493,332,20.9,0.1125,1.039,113.383,3.031,5.888,1.155,33.37,649839,370.515,38.596,67.624,59.262,870,39
Silverson,H,2,50019,29.747,247,349,488,333,20.9,0.1124,1.029,113.883,2.768,5.8,1.13,33.458,644906,369.849,38.668,67.82,59.133,865,39
Silverson,H,1,50004,29.71,246,348,485,332,20.9,0.1129,1.047,113.295,2.793,5.769,1.125,33.681,654648,373.588,40.423,68.183,59.585,866,39
Silverson,HH,4,50107,33.934,246,346,483,332,19.6,0.0991,1.043,116.564,2.967,5.401,1.157,31.909,606533,395.33,39.114,66.375,57.804,857,39
Silverson,HH,3,50147,33.896,246,347,487,333,19.5,0.0992,1.039,117.139,3.01,5.34,1.205,31.835,613684,398.938,39.586,66.584,58.043,859,39
