Sample Name,Variety,Replicate,Section,HPH Energy,nanopaper.rep,Weight (g),Thickness (mm),Density (g/cm3),Porosity (%),Grammage (g/m2),? (%),UTS (MPa),E (GPa),UT (MJ m-3),TI,Strain*,UTS*,E*,UT *,TI*
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,1,0.1909,0.0856,0.991173416,32.11140984,84.84444444,2.35,72.85,5.8,1.12,73.4987428,2.35,72.85,5.8,1.12,73.4987428
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,2,0.1957,0.088,0.988383838,32.30247682,86.97777778,2.29,69.73,5.93,1.04,70.54951456,2.29,69.73,5.93,1.04,70.54951456
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,3,0.1996,0.0895,0.991185599,32.11057541,88.71111111,1.76,63.09,5.79,0.7,63.65104584,1.76,63.09,5.79,0.7,63.65104584
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,4,0.2031,0.0899,1.004078606,31.22749275,90.26666667,0.9,45.58,6.44,0.22,45.39485229,,,,,
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,5,0.2042,0.0908,0.999510524,31.54037509,90.75555556,1.33,57.64,6.55,0.47,57.66822723,1.33,57.64,6.55,0.47,57.66822723
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,6,0.206,0.0918,0.997337206,31.68923243,91.55555556,2.13,67.04,6.27,0.94,67.21899029,2.13,67.04,6.27,0.94,67.21899029
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,7,0.2061,0.0907,1.009922822,30.82720394,91.6,2.52,73.45,6.31,1.24,72.72832969,2.52,73.45,6.31,1.24,72.72832969
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,8,0.2074,0.0919,1.003022609,31.29982129,92.17777778,2.61,71.35,5.63,1.24,71.13498674,2.61,71.35,5.63,1.24,71.13498674
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,9,,,,,,,,,,,,,,,
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,10,,,,,,,,,,,,,,,
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,11,,,,,,,,,,,,,,,
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,12,,,,,,,,,,,,,,,
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,13,,,,,,,,,,,,,,,
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,14,,,,,,,,,,,,,,,
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,15,,,,,,,,,,,,,,,
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,16,,,,,,,,,,,,,,,
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,1,0.1927,0.0854,1.002862347,31.31079814,85.64444444,2.75,84.49,6.09,1.54,84.24885054,2.75,84.49,6.09,1.54,84.24885054
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,2,0.1953,0.0866,1.002309469,31.34866652,86.8,2.12,74.43,6.08,1.02,74.2585023,2.12,74.43,6.08,1.02,74.2585023
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,3,0.197,0.0879,0.996081406,31.77524619,87.55555556,2.12,74.96,6.14,1.02,75.2548934,2.12,74.96,6.14,1.02,75.2548934
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,4,0.1936,0.0868,0.991295443,32.10305186,86.04444444,1.71,70.7,6.8,0.75,71.32081612,1.71,70.7,6.8,0.75,71.32081612
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,5,0.1922,0.0856,0.997923157,31.64909885,85.42222222,2.34,80.06,6.3,1.22,80.22661811,2.34,80.06,6.3,1.22,80.22661811
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,6,0.1916,0.087,0.978799489,32.9589391,85.15555556,2.57,80.81,6.43,1.37,82.56032098,2.57,80.81,6.43,1.37,82.56032098
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,7,0.1915,0.0857,0.993128484,31.97750107,85.11111111,2.23,77.67,6.43,1.13,78.20740339,2.23,77.67,6.43,1.13,78.20740339
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,8,0.1923,0.085,1.005490196,31.13080849,85.46666667,2.58,80.96,6.06,1.38,80.51794072,2.58,80.96,6.06,1.38,80.51794072
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,9,,,,,,,,,,,,,,,
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,10,,,,,,,,,,,,,,,
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,11,,,,,,,,,,,,,,,
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,12,,,,,,,,,,,,,,,
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,13,,,,,,,,,,,,,,,
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,14,,,,,,,,,,,,,,,
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,15,,,,,,,,,,,,,,,
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,16,,,,,,,,,,,,,,,
Sugargraze-1-Leaf-H,Sugargraze,1,Leaf,H,1,0.1637,0.0668,1.089155023,25.40034087,72.75555556,2.23,91.62,7.05,1.32,84.12025657,2.23,91.62,7.05,1.32,84.12025657
Sugargraze-1-Leaf-H,Sugargraze,1,Leaf,H,2,0.1632,0.0663,1.094017094,25.06732233,72.53333333,2.83,102.64,7.5,1.95,93.819375,2.83,102.64,7.5,1.95,93.819375
