variety,section,HPH,nanopaper,strip,weight,modulus_star,toughness_star,TI_star
Sugargraze,Leaf,L,1,1,0.1909,5.8,1.12,73.4987428
Sugargraze,Leaf,L,1,2,0.1957,5.93,1.04,70.54951456
Sugargraze,Leaf,L,1,3,0.1996,5.79,0.7,63.65104584
Sugargraze,Leaf,L,1,4,0.2031,,,
Sugargraze,Leaf,L,1,5,0.2042,6.55,0.47,57.66822723
Sugargraze,Leaf,L,1,6,0.206,6.27,0.94,67.21899029
Sugargraze,Leaf,L,1,7,0.2061,6.31,1.24,72.72832969
Sugargraze,Leaf,L,1,8,0.2074,5.63,1.24,71.13498674
Sugargraze,Leaf,L,2,1,,,,
Sugargraze,Leaf,L,2,2,,,,
Sugargraze,Leaf,L,2,3,,,,
Sugargraze,Leaf,L,2,4,,,,
Sugargraze,Leaf,L,2,5,,,,
Sugargraze,Leaf,L,2,6,,,,
Sugargraze,Leaf,L,2,7,,,,
Sugargraze,Leaf,L,2,8,,,,
Sugargraze,Leaf,M,1,1,0.1927,6.09,1.54,84.24885054
Sugargraze,Leaf,M,1,2,0.1953,6.08,1.02,74.2585023
Sugargraze,Leaf,M,1,3,0.197,6.14,1.02,75.2548934
Sugargraze,Leaf,M,1,4,0.1936,6.8,0.75,71.32081612
Sugargraze,Leaf,M,1,5,0.1922,6.3,1.22,80.22661811
Sugargraze,Leaf,M,1,6,0.1916,6.43,1.37,82.56032098
Sugargraze,Leaf,M,1,7,0.1915,6.43,1.13,78.20740339
Sugargraze,Leaf,M,1,8,0.1923,6.06,1.38,80.51794072
Sugargraze,Leaf,M,2,1,,,,
Sugargraze,Leaf,M,2,2,,,,
Sugargraze,Leaf,M,2,3,,,,
Sugargraze,Leaf,M,2,4,,,,
Sugargraze,Leaf,M,2,5,,,,
Sugargraze,Leaf,M,2,6,,,,
Sugargraze,Leaf,M,2,7,,,,
Sugargraze,Leaf,M,2,8,,,,
Sugargraze,Leaf,H,1,1,0.1637,7.05,1.32,84.12025657
Sugargraze,Leaf,H,1,2,0.1632,7.5,1.95,93.819375
Sugargraze,Leaf,H,1,3,0.1644,6.85,2.27,100.2532664
Sugargraze,Leaf,H,1,4,0.1644,7.2,1.57,87.37814781
Sugargraze,Leaf,H,1,5,0.1642,7.6,0.75,72.40180725
Sugargraze,Leaf,H,1,6,0.1653,,,
Sugargraze,Leaf,H,1,7,0.1638,6.78,0.73,71.27953297
Sugargraze,Leaf,H,1,8,0.164,,,
Sugargraze,Leaf,H,2,1,0.1647,7.2,2.45,98.34180328
Sugargraze,Leaf,H,2,2,0.1639,7.21,1.48,88.64249085
Sugargraze,Leaf,H,2,3,0.1648,8.06,1.58,92.17916869
Sugargraze,Leaf,H,2,4,0.1649,7.51,1.8,93.67624621
Sugargraze,Leaf,H,2,5,0.1646,7.15,2.15,99.18109356
Sugargraze,Leaf,H,2,6,0.1642,7.18,1.52,89.27936967
Sugargraze,Leaf,H,2,7,0.1644,,,
Sugargraze,Leaf,H,2,8,0.1659,,,
Sugargraze,Sheath,L,1,1,0.2408,6.22,1.82,87.90411752
Sugargraze,Sheath,L,1,2,0.2478,5.29,2.02,89.58299637
Sugargraze,Sheath,L,1,3,0.2476,5.23,1.96,87.57421648
Sugargraze,Sheath,L,1,4,0.2458,5.19,1.26,76.24481998
Sugargraze,Sheath,L,1,5,0.2437,5.07,1.82,86.03436808
Sugargraze,Sheath,L,1,6,0.2423,5.44,2.02,88.90449236
Sugargraze,Sheath,L,1,7,0.2408,5.28,1.46,81.73196013
Sugargraze,Sheath,L,1,8,0.2376,5.31,1.41,80.53623106
Sugargraze,Sheath,L,2,1,0.2395,6.2,1.3,87.41874739
Sugargraze,Sheath,L,2,2,0.2403,6.12,1.55,90.95666667
Sugargraze,Sheath,L,2,3,0.2402,5.48,1.59,93.05602831
Sugargraze,Sheath,L,2,4,0.2401,6.44,1.85,95.64816535
Sugargraze,Sheath,L,2,5,0.2403,5.75,0.94,78.73274345
Sugargraze,Sheath,L,2,6,0.2421,5.58,1.38,89.47908922
Sugargraze,Sheath,L,2,7,0.2387,5.74,1.54,91.41895161
Sugargraze,Sheath,L,2,8,0.2406,5.5,1.32,85.40488466
Sugargraze,Sheath,M,1,1,0.2161,6.21,1.72,91.02895072
Sugargraze,Sheath,M,1,2,0.2159,5.94,1.67,92.63926355
Sugargraze,Sheath,M,1,3,0.2192,6.41,2.34,100.5125912
Sugargraze,Sheath,M,1,4,0.2178,6.79,2.14,98.75192149
Sugargraze,Sheath,M,1,5,0.218,6.19,2.3,101.0731995
Sugargraze,Sheath,M,1,6,0.2171,6.11,1.67,91.0191018
Sugargraze,Sheath,M,1,7,0.2175,6.18,1.13,81.67117241
Sugargraze,Sheath,M,1,8,0.2183,,,
Sugargraze,Sheath,M,2,1,0.2175,6.06,2.12,97.35728276
Sugargraze,Sheath,M,2,2,0.2169,6.48,1.58,87.0723029
Sugargraze,Sheath,M,2,3,0.2209,6.08,1.98,93.64141467
Sugargraze,Sheath,M,2,4,0.2189,6.65,1.96,93.89965395
Sugargraze,Sheath,M,2,5,0.2207,6.85,1.57,89.18175238
Sugargraze,Sheath,M,2,6,0.2211,5.86,1.16,82.31831072
Sugargraze,Sheath,M,2,7,0.2183,6.87,1.76,91.8676546
Sugargraze,Sheath,M,2,8,0.218,5.69,1.44,86.08809633
Sugargraze,Sheath,H,1,1,0.2133,7.09,1.41,88.53457806
Sugargraze,Sheath,H,1,2,0.2129,6.81,2.89,108.3368342
Sugargraze,Sheath,H,1,3,0.2121,6.44,2.79,105.5631895
Sugargraze,Sheath,H,1,4,0.2156,6.8,3.49,112.1957178
Sugargraze,Sheath,H,1,5,0.2147,6.99,1.68,92.61836283
Sugargraze,Sheath,H,1,6,0.2134,6.75,2.51,102.4566917
Sugargraze,Sheath,H,1,7,0.2147,6.6,3.4,113.4613274
Sugargraze,Sheath,H,1,8,0.212,6.71,2.39,101.2759811
Sugargraze,Sheath,H,2,1,0.2163,6.83,3.03,108.3235506
Sugargraze,Sheath,H,2,2,0.218,7.49,3.04,109.156789
Sugargraze,Sheath,H,2,3,0.218,7.26,1.93,96.71316399
Sugargraze,Sheath,H,2,4,0.2187,7.26,1.48,90.44297325
Sugargraze,Sheath,H,2,5,0.2179,6.96,2.16,99.89358765
Sugargraze,Sheath,H,2,6,0.2157,7.94,1.92,95.90190542
Sugargraze,Sheath,H,2,7,0.2166,6.89,2.91,108.3297091
Sugargraze,Sheath,H,2,8,0.2152,7.05,2.48,102.71778
Sugargraze,Stem,L,1,1,0.2019,4.57,0.3,64.0122214
Sugargraze,Stem,L,1,2,0.1997,4.4,0.34,60.18721833
Sugargraze,Stem,L,1,3,0.2015,4.74,0.34,60.15081886
Sugargraze,Stem,L,1,4,0.1982,4.78,0.34,62.69841826
Sugargraze,Stem,L,1,5,0.1984,4.72,0.31,61.56864163
Sugargraze,Stem,L,1,6,0.2032,4.11,0.23,54.06033588
Sugargraze,Stem,L,1,7,0.2025,4.47,0.33,59.67
Sugargraze,Stem,L,1,8,0.2015,4.37,0.35,61.64836973
Sugargraze,Stem,L,2,1,0.2316,4.68,0.34,42.69963731
Sugargraze,Stem,L,2,2,0.23,4.48,0.17,36.25376087
Sugargraze,Stem,L,2,3,0.231,4.36,0.33,43.79450649
Sugargraze,Stem,L,2,4,0.2348,4.38,0.32,42.47908007
Sugargraze,Stem,L,2,5,0.2357,4.29,0.23,39.67079338
Sugargraze,Stem,L,2,6,0.2347,4.32,0.28,41.30739242
Sugargraze,Stem,L,2,7,0.2324,3.88,0.31,43.91163511
Sugargraze,Stem,L,2,8,0.2318,4.05,0.29,42.67850086
Sugargraze,Stem,M,1,1,0.1854,5.6,1.1,95.59765777
Sugargraze,Stem,M,1,2,0.1881,6.37,0.99,94.37063397
Sugargraze,Stem,M,1,3,0.188,5.67,1.55,108.4251782
Sugargraze,Stem,M,1,4,0.1886,5.99,0.72,84.98975345
