Biomass,Section,Level,Nanopaper,Strip,weight,thickness,density,porosity,grammage,strain_star,UTS_star,E_star,toughness_star,TI_star
Banana,Leaf,L,1,1,0.2189,0.1264,0.769690577,47.28146735,97.28888889,1.61,42.21,4.03,0.42,54.84021928
Banana,Leaf,L,1,2,0.2177,0.1323,0.731334509,49.90859527,96.75555556,1.13,32.59,3.51,,44.56237138
Banana,Leaf,L,1,3,0.2177,0.1277,0.757678587,48.10420637,96.75555556,1.45,39.76,3.81,0.34,52.47607717
Banana,Leaf,L,1,4,0.2169,0.1306,0.7381317,49.44303426,96.4,1.46,40.66,3.99,0.36,55.08502075
Banana,Leaf,L,1,5,0.2177,0.133,0.72748538,50.17223424,96.75555556,1.45,39.86,3.78,0.35,54.7914791
Banana,Leaf,L,1,6,0.2172,0.1306,0.739152629,49.37310761,96.53333333,1.63,41.48,3.66,0.41,56.11831492
Banana,Leaf,L,1,7,0.214,0.1313,0.72438013,50.38492258,95.11111111,1.4,37.84,3.81,0.32,52.23776636
Banana,Leaf,L,1,8,0.2142,0.1287,0.73970474,49.3352918,95.2,1.57,40.31,3.66,0.39,54.49471639
Banana,Leaf,L,2,1,0.2262,0.1302,0.772145417,47.11332758,100.5333333,1.28,35.78,3.46,0.25,46.33842175
Banana,Leaf,L,2,2,0.2192,0.1288,0.756383713,48.19289638,97.42222222,1.63,40.51,3.88,0.41,53.55747263
Banana,Leaf,L,2,3,0.2183,0.1296,0.748628258,48.72409193,97.02222222,1.37,35.86,3.49,0.29,47.90094366
Banana,Leaf,L,2,4,0.2278,0.1284,0.788508134,45.99259354,101.2444444,1.36,36.87,3.66,0.29,46.75918788
Banana,Leaf,L,2,5,0.2286,0.1338,0.759342302,47.99025329,101.6,1.56,37.08,4.1,0.33,48.83173228
Banana,Leaf,L,2,6,0.2271,0.1278,0.789775691,45.90577458,100.9333333,1.45,39.47,4.09,0.34,49.97621532
Banana,Leaf,L,2,7,0.2221,0.1281,0.770578541,47.22064787,98.71111111,1.29,36.47,3.7,0.27,47.32807632
Banana,Leaf,L,2,8,0.2216,0.1286,0.765854501,47.54421223,98.48888889,1.75,41.4,3.54,0.45,54.05726534
Banana,Leaf,M,1,1,0.2133,0.1108,0.855595668,41.397557,94.8,1.38,49.78,4.73,,58.18168776
Banana,Leaf,M,1,2,0.216,0.1132,0.848056537,41.91393581,96,2.08,60.03,4.63,0.78,70.785375
Banana,Leaf,M,1,3,0.2161,0.1104,0.869967794,40.4131648,96.04444444,1.81,57.7,4.57,0.63,66.32429431
Banana,Leaf,M,1,4,0.2185,0.112,0.867063492,40.61208958,97.11111111,2.23,64.31,5.15,0.91,74.16988558
Banana,Leaf,M,1,5,0.2151,0.1097,0.871467639,40.31043568,95.6,1.84,58.8,4.66,0.65,67.47238494
Banana,Leaf,M,1,6,0.2131,0.11,0.861010101,41.02670541,94.71111111,2.02,60.02,4.67,0.73,69.70882215
Banana,Leaf,M,1,7,0.216,0.1152,0.833333333,42.92237443,96,1.58,51.78,4.31,,62.136
Banana,Leaf,M,1,8,0.2124,0.111,0.85045045,41.74996915,94.4,2.33,62.63,4.45,0.93,73.64332627
Banana,Leaf,M,2,1,0.2113,0.1071,0.876854445,39.94147634,93.91111111,1.96,59.05,4.47,0.71,67.34298982
