"","PC1","PC2","PC3","PC4","PC5","PC6"
"fibre_n",0.232154267807943,0.0655171005644172,0.125599760576482,0.100311054404888,0.701836776601325,0.29999108113984
"fibre_cont",0.309996431805878,0.169780044392374,0.164565573331097,0.0337945383124723,0.0465060981156235,0.0927652753074069
"fibre_L",0.126278569916141,0.139626489859818,0.432258519129157,0.11969342706566,0.0186863676001215,0.263711343062404
"fibre_L.L",0.0319693397268743,0.0221545369603741,0.487807899602335,0.18646928633134,0.0598942327978797,0.0134152922777635
"fibre_L3.L",0.163899785953973,0.0076363361234605,0.417863531744031,0.173245801170952,0.0708393994768897,0.192464544062
"fibre_A.L",0.0561907608445072,0.153027006574697,0.469392023954398,0.0384293815262468,0.0415320870882732,0.127281175546321
"fibre_W",0.329433874403739,0.0222508137245072,0.0514529793405054,0.199185012432088,0.225948074689776,0.0655989065060857
"fibre_course",0.310472650458178,0.169170289440006,0.081797720895617,0.100223926484999,0.218443235753254,0.10614651150396
"fibre_kink.num",0.107833909936356,0.030276192383674,0.183904145670865,0.410778468558468,0.389904129296248,0.650817842478069
"fibre_kink.ang",0.262859431778203,0.145933328297712,0.098207906462664,0.23203785413409,0.272041273115441,0.356093933405404
"fibre_kink.cont",0.25780052436166,0.0384465888942229,0.188681313148999,0.306333376729934,0.0105616371433635,0.0876278166235166
"fibre_curl",0.240839729784884,0.0214842844558594,0.134896888489484,0.37956574179482,0.169486224589867,0.0489413332545939
"MF.index",0.233493891721624,0.0418326633553619,0.102743888463898,0.360904255342678,0.230391767788293,0.156988470305163
"fibre_broken",0.284617584141861,0.15102522756484,0.03424587326244,0.297340882476648,0.0490614128039332,0.0886982834189124
"fine_n",0.0254621058759536,0.425738392862828,0.0744650329620307,0.0862802624346374,0.218188436296279,0.0755361225060441
"fine_cont",0.258642097798558,0.299846570520487,0.0176731129734152,0.026101654360336,0.13376132612553,0.00884447271864412
"fine_cont.A",0.0319661649675298,0.417203331463564,0.0323890967442809,0.212671890690884,0.034476839677008,0.141522623608448
"fine_cont.L",0.021272040358864,0.428873280736645,0.0252226145097267,0.0439402477457063,0.0373501209432322,0.11365051892542
"fine_cont.L.L",0.0240070173726425,0.447527825071291,0.0200733218808752,0.0374774417462566,0.012883871172411,0.0175433661525519
"fine_A",0.315776106598116,0.00631919271133327,0.029228631208665,0.25569685254285,0.0685356589446481,0.250413794430146
"fine_L",0.296772380313432,0.126972319590302,0.101338693240385,0.239295832017914,0.111854393763926,0.261085515458817
