variety,section,HPH,quality_def,score
Sugargraze,Leaf,L,Q1,59.31259135
Sugargraze,Leaf,L,Q2,43.82307894
Sugargraze,Leaf,L,Q3,67.14367153
Sugargraze,Leaf,L,Q4,38.93506317
Sugargraze,Leaf,L,Q5,48.38049462
Sugargraze,Leaf,L,Q6,43.82307894
Sugargraze,Leaf,L,Q7,43.82307894
Sugargraze,Leaf,M,Q1,68.25350106
Sugargraze,Leaf,M,Q2,51.44433133
Sugargraze,Leaf,M,Q3,70.86149884
Sugargraze,Leaf,M,Q4,51.30302226
Sugargraze,Leaf,M,Q5,54.64869736
Sugargraze,Leaf,M,Q6,45.01378992
Sugargraze,Leaf,M,Q7,32.15270708
Sugargraze,Leaf,H,Q1,77.74178417
Sugargraze,Leaf,H,Q2,62.83024566
Sugargraze,Leaf,H,Q3,81.76467604
Sugargraze,Leaf,H,Q4,47.43237281
Sugargraze,Leaf,H,Q5,85.73398083
Sugargraze,Leaf,H,Q6,47.12268424
Sugargraze,Leaf,H,Q7,15.70756141
Sugargraze,Sheath,L,Q1,75.73888237
Sugargraze,Sheath,L,Q2,61.04524922
Sugargraze,Sheath,L,Q3,65.36198341
Sugargraze,Sheath,L,Q4,61.77141987
Sugargraze,Sheath,L,Q5,42.89065641
Sugargraze,Sheath,L,Q6,61.04524922
Sugargraze,Sheath,L,Q7,61.04524922
Sugargraze,Sheath,M,Q1,80.06161997
Sugargraze,Sheath,M,Q2,66.02493339
Sugargraze,Sheath,M,Q3,72.54918244
Sugargraze,Sheath,M,Q4,63.14827641
Sugargraze,Sheath,M,Q5,54.3362513
Sugargraze,Sheath,M,Q6,57.77181672
Sugargraze,Sheath,M,Q7,41.26558337
Sugargraze,Sheath,H,Q1,89.09850227
Sugargraze,Sheath,H,Q2,80.82802195
Sugargraze,Sheath,H,Q3,80.64498197
Sugargraze,Sheath,H,Q4,67.32465563
Sugargraze,Sheath,H,Q5,78.22035279
Sugargraze,Sheath,H,Q6,60.62101646
Sugargraze,Sheath,H,Q7,20.20700549
Sugargraze,Stem(<1m),L,Q1,44.48554266
Sugargraze,Stem(<1m),L,Q2,26.65939719
Sugargraze,Stem(<1m),L,Q3,49.21655683
Sugargraze,Stem(<1m),L,Q4,27.92465478
Sugargraze,Stem(<1m),L,Q5,37.70962209
Sugargraze,Stem(<1m),L,Q6,26.65939719
Sugargraze,Stem(<1m),L,Q7,26.65939719
Sugargraze,Stem(<1m),M,Q1,71.59579981
Sugargraze,Stem(<1m),M,Q2,51.92179804
Sugargraze,Stem(<1m),M,Q3,69.1533989
Sugargraze,Stem(<1m),M,Q4,52.95478658
Sugargraze,Stem(<1m),M,Q5,50.42737537
Sugargraze,Stem(<1m),M,Q6,45.43157329
Sugargraze,Stem(<1m),M,Q7,32.45112378
Sugargraze,Stem(<1m),H,Q1,81.21983442
Sugargraze,Stem(<1m),H,Q2,67.39738048
Sugargraze,Stem(<1m),H,Q3,82.60313704
Sugargraze,Stem(<1m),H,Q4,61.22536418
Sugargraze,Stem(<1m),H,Q5,68.67926964
Sugargraze,Stem(<1m),H,Q6,50.54803536
Sugargraze,Stem(<1m),H,Q7,16.84934512
Sugargraze,Stem(>1m),L,Q1,73.15955863
Sugargraze,Stem(>1m),L,Q2,52.26048451
Sugargraze,Stem(>1m),L,Q3,67.91731715
Sugargraze,Stem(>1m),L,Q4,55.48511029
Sugargraze,Stem(>1m),L,Q5,43.35961457
Sugargraze,Stem(>1m),L,Q6,52.26048451
Sugargraze,Stem(>1m),L,Q7,52.26048451
Sugargraze,Stem(>1m),M,Q1,84.92998119
Sugargraze,Stem(>1m),M,Q2,68.24363898
Sugargraze,Stem(>1m),M,Q3,74.21602758
Sugargraze,Stem(>1m),M,Q4,67.83940074
Sugargraze,Stem(>1m),M,Q5,54.65815877
Sugargraze,Stem(>1m),M,Q6,59.71318411
Sugargraze,Stem(>1m),M,Q7,42.65227436
Sugargraze,Stem(>1m),H,Q1,87.53772437
Sugargraze,Stem(>1m),H,Q2,75.48286806
Sugargraze,Stem(>1m),H,Q3,82.17168485
Sugargraze,Stem(>1m),H,Q4,67.03572704
Sugargraze,Stem(>1m),H,Q5,72.17841332
Sugargraze,Stem(>1m),H,Q6,56.61215105
