Sample,Variety,Replicate,Section,HPH,EMT
Sugargraze-1-Leaf-L,Sugargraze,1,Leaf,L,103.3
Sugargraze-1-Leaf-M,Sugargraze,1,Leaf,M,144.9
Sugargraze-1-Leaf-H,Sugargraze,1,Leaf,H,180.8
Sugargraze-1-Sheath-L,Sugargraze,1,Sheath,L,109.1
Sugargraze-1-Sheath-M,Sugargraze,1,Sheath,M,136
Sugargraze-1-Sheath-H,Sugargraze,1,Sheath,H,176.9
Sugargraze-1-Stem(<1m)-L,Sugargraze,1,Stem(<1m),L,97.4
Sugargraze-1-Stem(<1m)-M,Sugargraze,1,Stem(<1m),M,129.1
Sugargraze-1-Stem(<1m)-H,Sugargraze,1,Stem(<1m),H,165.6
Sugargraze-3-Stem(>1m)-L,Sugargraze,3,Stem(>1m),L,111.6
Sugargraze-3-Stem(>1m)-M,Sugargraze,3,Stem(>1m),M,137.1
Sugargraze-3-Stem(>1m)-H,Sugargraze,3,Stem(>1m),H,167.4
Yemen-2-Leaf-L,Yemen,2,Leaf,L,110.6
Yemen-2-Leaf-M,Yemen,2,Leaf,M,138.6
Yemen-2-Leaf-H,Yemen,2,Leaf,H,177.1
Yemen-1-Sheath-L,Yemen,1,Sheath,L,113
Yemen-1-Sheath-M,Yemen,1,Sheath,M,140
Yemen-1-Sheath-H,Yemen,1,Sheath,H,167
Yemen-3-Stem(<1m)-L,Yemen,3,Stem(<1m),L,100.1
Yemen-3-Stem(<1m)-M,Yemen,3,Stem(<1m),M,133
Yemen-3-Stem(<1m)-H,Yemen,3,Stem(<1m),H,173.4
Yemen-2-Stem(>1m)-L,Yemen,2,Stem(>1m),L,133.5
Yemen-2-Stem(>1m)-M,Yemen,2,Stem(>1m),M,122.7
Yemen-2-Stem(>1m)-H,Yemen,2,Stem(>1m),H,169.8
GreenleafBMR-1-Leaf-L,GreenleafBMR,1,Leaf,L,116.9
GreenleafBMR-1-Leaf-M,GreenleafBMR,1,Leaf,M,153.3
GreenleafBMR-1-Leaf-H,GreenleafBMR,1,Leaf,H,178.3
GreenleafBMR-2-Sheath-L,GreenleafBMR,2,Sheath,L,133.3
GreenleafBMR-2-Sheath-M,GreenleafBMR,2,Sheath,M,138
GreenleafBMR-2-Sheath-H,GreenleafBMR,2,Sheath,H,169.4
GreenleafBMR-1-Stem-L,GreenleafBMR,1,Stem,L,101
GreenleafBMR-1-Stem-M,GreenleafBMR,1,Stem,M,127.9
GreenleafBMR-1-Stem-H,GreenleafBMR,1,Stem,H,179.4
Graingrass-2-Leaf-L,Graingrass,2,Leaf,L,122
Graingrass-2-Leaf-M,Graingrass,2,Leaf,M,159.8
Graingrass-2-Leaf-H,Graingrass,2,Leaf,H,184.1
Graingrass-3-Sheath-L,Graingrass,3,Sheath,L,109.26041
Graingrass-3-Sheath-M,Graingrass,3,Sheath,M,132.6634069
Graingrass-3-Sheath-H,Graingrass,3,Sheath,H,182.6189358
Graingrass-3-Stem-L,Graingrass,3,Stem,L,128.3
Graingrass-3-Stem-M,Graingrass,3,Stem,M,147.4
Graingrass-3-Stem-H,Graingrass,3,Stem,H,177.4
